Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_lower,gain_fo,gain_upper,gain_db,freq,f_lower,f_upper,s11_db,s12_db,s21_db,s22_db,s11_rad,s12_rad,s21_rad,s22_rad,Kf,nf_db,iip3_dbm
tsmc065_ff,104.0,0.7766433,0.5483123,0.3054751,0.004031648,1.0,0.004031648,0.001023355,0.01699094,0.002361368,0.3202872,0.06525877,7.141267e-14,3.207456e-14,4.245412,9.367153,9.081309,7.245412,1000000000.0,50000000.0,2000000000.0,-15.8028,-69.978,-88.9196,-5.699839999999999e-07,-1.13645,-0.216923,-0.209556,-3.14159,5.751030452094502,5.329714,3.920235201590458
tsmc065_ff,112.0,0.7757546,0.5455482,0.3065885,0.004033751,1.0,0.004033751,0.001024409,0.01670567,0.002332099,0.3145012,0.06662924,7.158539e-14,3.206213e-14,4.225476,9.286678,8.996269,7.225476,1000000000.0,50000000.0,2000000000.0,-15.6759,-70.0184,-88.9343,-5.718009999999999e-07,-1.10944,-0.218376,-0.210903,-3.14159,5.805303927705293,5.435543,3.918683049769257
tsmc065_ff,120.0,0.7748517,0.5428263,0.307717,0.004035807,1.0,0.004035807,0.001025443,0.01642824,0.002303864,0.3087229,0.06799332,7.175498e-14,3.205004e-14,4.206,9.207329,8.912381,7.206,1000000000.0,50000000.0,2000000000.0,-15.545,-70.058,-88.9475,-5.73637e-07,-1.08342,-0.219822,-0.212244,-3.14159,5.858297593543331,5.540679,3.921524209109009
tsmc065_ss,-40.0,0.7226842,0.8617809,0.3766669,0.003792177,1.0,0.003792177,0.0009041427,0.01983121,0.002268588,0.5860797,0.04393068,6.978582000000001e-14,2.8180670000000002e-14,8.851488,12.61558,12.17729,11.851488,1000000000.0,50000000.0,2000000000.0,-14.7495,-66.7154,-87.3256,-7.40875e-07,-1.19885,-0.290118,-0.28368,-3.14159,4.2997085859001185,3.227821,10.723271851937028
tsmc065_ss,-32.0,0.7217514,0.8576692,0.3778538,0.003794694,1.0,0.003794694,0.0009049215,0.01969374,0.002250582,0.5802627,0.04536956,6.974809e-14,2.81852e-14,8.852463,12.59907,12.15527,11.852463,1000000000.0,50000000.0,2000000000.0,-14.7133,-66.7193,-87.3449,-7.42439e-07,-1.19135,-0.291494,-0.285018,-3.14159,4.3200987480565765,3.298593,10.10860071541157
tsmc065_ss,-24.0,0.7208205,0.853722,0.3790274,0.00379694,1.0,0.00379694,0.0009060134,0.01952664,0.002231349,0.5744467,0.04681263,6.976787e-14,2.8186490000000002e-14,8.849261,12.57272,12.12308,11.849261,1000000000.0,50000000.0,2000000000.0,-14.6659,-66.7287,-87.3627,-7.44056e-07,-1.18129,-0.292948,-0.286423,-3.14159,4.342865640559006,3.373347,9.520053119719037
tsmc065_ss,-16.0,0.7198777,0.8499236,0.3802064,0.003799005,1.0,0.003799005,0.0009070427,0.01933004,0.002210586,0.5686364,0.04825673,6.982827e-14,2.8185509999999998e-14,8.84187,12.53665,12.08076,11.84187,1000000000.0,50000000.0,2000000000.0,-14.6072,-66.7437,-87.3797,-7.45749e-07,-1.16877,-0.294488,-0.287904,-3.14159,4.3685260021898475,3.452093,8.988541152450537
tsmc065_ss,-8.0,0.7189199,0.8462614,0.3813952,0.00380091,1.0,0.00380091,0.0009079944,0.01910971,0.002188669,0.5628331,0.04970155,6.992046e-14,2.818279e-14,8.830955,12.49235,12.02987,11.830955,1000000000.0,50000000.0,2000000000.0,-14.5381,-66.7634,-87.3957,-7.475120000000001e-07,-1.15425,-0.296102,-0.28945,-3.14159,4.396491104955611,3.534277,8.523521371600623
tsmc065_ss,0.0,0.7179521,0.842725,0.382587,0.003802623,1.0,0.003802623,0.0009091178,0.0188753,0.002166447,0.557035,0.05114914,7.004121e-14,2.8178519999999998e-14,8.817716,12.44244,11.97317,11.817716,1000000000.0,50000000.0,2000000000.0,-14.4604,-66.7862,-87.4101,-7.49323e-07,-1.13847,-0.297768,-0.291041,-3.14159,4.425518151003684,3.618867,8.123750904045451
tsmc065_ss,8.0,0.7169513,0.8393057,0.3838127,0.003804291,1.0,0.003804291,0.000909688,0.01861825,0.002142764,0.5512506,0.05259264,7.017495e-14,2.8173590000000002e-14,8.800892,12.38448,11.908,11.800892,1000000000.0,50000000.0,2000000000.0,-14.3719,-66.8136,-87.4247,-7.51234e-07,-1.12091,-0.299514,-0.292705,-3.14159,4.457541140911856,3.706946,7.783611097314761
tsmc065_ss,16.0,0.7159375,0.8359956,0.3850454,0.003805787,1.0,0.003805787,0.0009104379,0.01835534,0.00211933,0.5454727,0.05403842,7.032777e-14,2.816767e-14,8.782686,12.3231,11.83928,11.782686,1000000000.0,50000000.0,2000000000.0,-14.2764,-66.8428,-87.4372,-7.53183e-07,-1.10279,-0.301295,-0.2944,-3.14159,4.4896328565925,3.796589,7.496378360267727
tsmc065_ss,24.0,0.7149156,0.8327899,0.3862785,0.003807081,1.0,0.003807081,0.0009115848,0.01809331,0.002096761,0.5396994,0.05548846,7.049912e-14,2.8160790000000003e-14,8.764045,12.2603,11.76914,11.764045,1000000000.0,50000000.0,2000000000.0,-14.1756,-66.8727,-87.447,-7.5515e-07,-1.08463,-0.303092,-0.296108,-3.14159,4.520785499007301,3.886918,7.255532878374481
tsmc065_ss,32.0,0.7138443,0.8296819,0.3875678,0.003808435,1.0,0.003808435,0.0009117688,0.01781092,0.002072567,0.5339462,0.05692914,7.066785e-14,2.815416e-14,8.741762,12.18979,11.69081,11.741762,1000000000.0,50000000.0,2000000000.0,-14.064,-66.9071,-87.4579,-7.57239e-07,-1.06505,-0.304973,-0.297895,-3.14159,4.5554130027286295,3.980772,7.055235739976112
tsmc065_ss,40.0,0.7127631,0.8266678,0.3888599,0.0038096,1.0,0.0038096,0.0009123382,0.01753376,0.002049512,0.5281986,0.05837322,7.085005e-14,2.814688e-14,8.719558,12.11909,11.61233,11.719558,1000000000.0,50000000.0,2000000000.0,-13.9484,-66.9415,-87.4659,-7.59341e-07,-1.04582,-0.30686,-0.299687,-3.14159,4.588568694084199,4.074801,6.890521194337609
tsmc065_ss,48.0,0.7116586,0.8237434,0.3901731,0.00381066,1.0,0.00381066,0.0009128682,0.01725606,0.002026875,0.5224616,0.05981619,7.103818999999999e-14,2.813938e-14,8.696548,12.04653,11.5319,11.696548,1000000000.0,50000000.0,2000000000.0,-13.8275,-66.9769,-87.4722,-7.61487e-07,-1.02661,-0.308772,-0.301501,-3.14159,4.621511799032448,4.169764,6.757207325393196
tsmc065_ss,56.0,0.7105297,0.8209056,0.3915085,0.003811623,1.0,0.003811623,0.0009133496,0.016979,0.002004724,0.5167357,0.06125751,7.123071e-14,2.8131750000000003e-14,8.672881,11.97247,11.44989,11.672881,1000000000.0,50000000.0,2000000000.0,-13.702,-67.013,-87.4767,-7.636739999999999e-07,-1.00753,-0.310706,-0.303336,-3.14159,4.653995984063654,4.265492,6.651899284444752
tsmc065_ss,64.0,0.7093765,0.8181511,0.3928665,0.00381249,1.0,0.00381249,0.0009137908,0.01670377,0.001983143,0.5110211,0.06269682,7.142657e-14,2.812407e-14,8.648724,11.89731,11.36673,11.648724,1000000000.0,50000000.0,2000000000.0,-13.5724,-67.0496,-87.4793,-7.65901e-07,-0.98869,-0.312657,-0.305188,-3.14159,4.685829620003656,4.361798,6.571783639286863
tsmc065_ss,72.0,0.7082115,0.8154776,0.3942298,0.003813182,1.0,0.003813182,0.0009145914,0.01643774,0.00196292,0.505313,0.06413808,7.162996e-14,2.8116089999999998e-14,8.625346,11.82353,11.28505,11.625346,1000000000.0,50000000.0,2000000000.0,-13.4415,-67.0853,-87.4788,-7.681309999999999e-07,-0.97059,-0.314599,-0.307031,-3.14159,4.715440499326604,4.457467,6.514602164854011
tsmc065_ss,80.0,0.7069949,0.8128805,0.3956523,0.003813949,1.0,0.003813949,0.0009145124,0.01616134,0.001941817,0.4996269,0.06556701,7.182413e-14,2.810877e-14,8.599303,11.74465,11.19793,11.599303,1000000000.0,50000000.0,2000000000.0,-13.303,-67.1241,-87.4788,-7.70465e-07,-0.952001,-0.316603,-0.308932,-3.14159,4.747272395543878,4.555676,6.478562900493159
tsmc065_ss,88.0,0.705766,0.8103616,0.397081,0.003814547,1.0,0.003814547,0.0009148203,0.01589574,0.001922202,0.4939477,0.06699715,7.20248e-14,2.810124e-14,8.574267,11.66768,11.11286,11.574267,1000000000.0,50000000.0,2000000000.0,-13.1643,-67.1616,-87.4755,-7.72796e-07,-0.93428,-0.31859,-0.310818,-3.14159,4.776480885880433,4.652964,6.46228486642579
tsmc065_ss,96.0,0.7045103,0.8079202,0.3985356,0.003815067,1.0,0.003815067,0.000915095,0.01563445,0.001903331,0.4882812,0.06842331,7.222609000000001e-14,2.809384e-14,8.549134,11.59059,11.02767,11.549134,1000000000.0,50000000.0,2000000000.0,-13.0237,-67.199,-87.47,-7.751549999999999e-07,-0.917035,-0.320584,-0.312711,-3.14159,4.804393692935475,4.750321,6.464690483131918
tsmc065_ss,104.0,0.7032287,0.8055493,0.4000146,0.003815502,1.0,0.003815502,0.0009152885,0.015377,0.001885128,0.4826271,0.06984424,7.242689e-14,2.808663e-14,8.523808,11.51322,10.9422,11.51322,1000000000.0,50000000.0,2000000000.0,-12.8811,-67.2366,-87.4624,-7.77546e-07,-0.900241,-0.322584,-0.314612,-3.14159,4.831207302302659,4.84781,6.485069933448941
tsmc065_ss,112.0,0.7019221,0.8032499,0.4015171,0.00381585,1.0,0.00381585,0.0009154623,0.01512456,0.001867723,0.4769853,0.07126005,7.262768e-14,2.807959e-14,8.498506,11.43603,10.85694,11.43603,1000000000.0,50000000.0,2000000000.0,-12.7374,-67.274,-87.4526,-7.7996e-07,-0.883971,-0.324586,-0.316514,-3.14159,4.856591653937636,4.945184,6.5229478032021575
tsmc065_ss,120.0,0.7005911,0.8010175,0.4030422,0.003816108,1.0,0.003816108,0.0009155909,0.01487684,0.001851076,0.4713556,0.07266973,7.282785e-14,2.807277e-14,8.473186,11.35897,10.77183,11.35897,1000000000.0,50000000.0,2000000000.0,-12.5928,-67.3112,-87.4405,-7.82398e-07,-0.868209,-0.326588,-0.318417,-3.14159,4.880472580095758,5.04245,6.578085019920948
