Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
49,0.0007325918,5.729423000000001,14.03175,2.729423,13.01302,1000000.0,2000000000.0,-2.1144598343641263,-3.16892,-66.058,-84.3301,-9.57879e-07,2.5811542563777237,5.424128,0.003108619,0.01469634,0.05415559,0.6116085,0.4132824,0.2372211,
50,0.0007268259,5.778007000000001,14.02501,2.778007,12.99352,1000000.0,2000000000.0,-2.143642026466864,-3.15985,-66.0434,-84.3103,-9.6164e-07,2.5777171101469314,5.429115,0.003084264,0.01459488,0.0540675,0.6117216,0.4134142,0.2377286,
51,0.0007211703,5.770535000000001,14.01681,2.770535,12.97019,1000000.0,2000000000.0,-2.1784675346875275,-3.17,-66.0141,-84.2736,-9.65248e-07,2.573327626585814,5.4189,0.00306034,0.01450084,0.05393568,0.6115834,0.4135135,0.238225,
52,0.0007155541,5.824201,14.01125,2.824201,12.94466,1000000.0,2000000000.0,-2.191705074285565,-3.15816,-66.0067,-84.2658,-9.675159999999999e-07,2.5699977899291993,5.426226,0.003036541,0.01440897,0.05383332,0.6114401,0.4135599,0.2386357,
53,0.0007099746,5.875244,14.00468,2.875244,12.92344,1000000.0,2000000000.0,-2.205675530848019,-3.14574,-65.9976,-84.252,-9.707240000000001e-07,2.5666531071244396,5.434553,0.003012961,0.01431281,0.05372626,0.6112148,0.413584,0.2389567,
54,0.0007044219,5.925084,13.99902,2.925084,12.90268,1000000.0,2000000000.0,-2.2100355201699386,-3.13422,-65.9879,-84.2396,-9.74046e-07,2.5639119174596208,5.442876,0.002989427,0.01421696,0.05361924,0.6108477,0.4136135,0.2391681,
55,0.0006988928,5.97565,13.99984,2.97565,12.89064,1000000.0,2000000000.0,-2.2145604059256954,-3.12379,-65.9716,-84.2289,-9.784639999999999e-07,2.5625617813661785,5.45113,0.00296588,0.01412319,0.05353889,0.6104107,0.4136338,0.2392533,
56,0.0006934385,6.023896000000001,13.99482,3.023896,12.86853,1000000.0,2000000000.0,-2.204584828932582,-3.11341,-65.9627,-84.2184,-9.81466e-07,2.5599679766274592,5.459289,0.002942614,0.01403129,0.05341132,0.6096624,0.4135604,0.2392516,
57,0.0006879327,6.072978,13.99341,3.072978,12.84433,1000000.0,2000000000.0,-2.1720593413646725,-3.10576,-65.9527,-84.2171,-9.84207e-07,2.5593179696597104,5.466924,0.00291889,0.01394017,0.0533075,0.6087434,0.4135435,0.2390609,
58,0.000682405,6.120318,13.99204,3.120318,12.82545,1000000.0,2000000000.0,-2.137643498233423,-3.10003,-65.9377,-84.2078,-9.88181e-07,2.5589194960653234,5.47362,0.002895016,0.01384406,0.05319886,0.6076604,0.4135055,0.2387173,
59,0.0006768632,6.1118950000000005,13.99161,3.111895,12.8068,1000000.0,2000000000.0,-2.1055632824071893,-3.11386,-65.904,-84.1823,-9.930630000000001e-07,2.5592241521092185,5.465628,0.002870916,0.01374759,0.05308909,0.6063951,0.4134816,0.2382386,
60,0.0006713046,6.1101,13.99724,3.1101,12.79648,1000000.0,2000000000.0,-2.075170931195359,-3.12622,-65.8659,-84.1597,-9.98993e-07,2.5606572917021566,5.459376,0.002846648,0.01365223,0.05300467,0.605093,0.4134379,0.2376615,
61,0.0006658533,6.167197,13.99615,3.167197,12.7751,1000000.0,2000000000.0,-2.0224983422762577,-3.11485,-65.858,-84.1583,-1.0023599999999999e-06,2.5601756283793047,5.471087,0.002822796,0.01355925,0.05287598,0.6035793,0.4132453,0.2370692,
62,0.0006604408,6.224239,13.9969,3.224239,12.75021,1000000.0,2000000000.0,-1.959659016392834,-3.10602,-65.8502,-84.1642,-1.00521e-06,2.56092128450338,5.481947,0.00279905,0.01346829,0.05277287,0.6020836,0.4130916,0.236425,
63,0.0006551355,6.278641,13.99645,3.278641,12.73063,1000000.0,2000000000.0,-1.9120542280790502,-3.09601,-65.8404,-84.1619,-1.0090799999999999e-06,2.561088734420544,5.493448,0.002775893,0.01337461,0.05267084,0.6006603,0.412869,0.2357863,
64,0.0006499388,6.3316230000000004,13.99562,3.331623,12.71074,1000000.0,2000000000.0,-1.8675999269745915,-3.08643,-65.8307,-84.1592,-1.0128699999999999e-06,2.561103560573709,5.504647,0.002753231,0.01328259,0.05257142,0.5992691,0.4126267,0.2351633,
65,0.0006459067,6.386763999999999,14.00608,3.386764,12.70696,1000000.0,2000000000.0,-1.836372120535259,-3.07777,-65.8103,-84.1524,-1.0172e-06,2.559392464671964,5.510588,0.002730907,0.0132136,0.05250951,0.5980302,0.4124538,0.2345287,
66,0.0006342039,6.425757,14.05467,3.425757,12.70033,1000000.0,2000000000.0,-0.8942598883439246,-3.10102,-65.7639,-84.2714,-1.0324399999999999e-06,2.6093570754086337,5.532752,0.002676777,0.01301002,0.0522379,0.5884722,0.4175505,0.228642,
67,0.000631854,6.491921,14.03054,3.491921,12.66464,1000000.0,2000000000.0,-1.3400618023546613,-3.07969,-65.772,-84.2061,-1.0299e-06,2.583467970972847,5.540116,0.002670445,0.01296823,0.05223292,0.5899415,0.4129275,0.229575,
68,0.0006288205,6.489866,14.01244,3.489866,12.6393,1000000.0,2000000000.0,-1.6355928852741783,-3.08207,-65.7539,-84.1396,-1.03116e-06,2.567346845670682,5.532604,0.002659797,0.01291007,0.05221206,0.5908293,0.4102288,0.2302158,
69,0.0006253656,6.48643,13.99818,3.48643,12.61421,1000000.0,2000000000.0,-1.8082696184702343,-3.08684,-65.7356,-84.092,-1.0330299999999999e-06,2.557184970778404,5.525912,0.002646367,0.01284648,0.0521621,0.591201,0.4087443,0.2306784,
70,0.0006215753,6.539848,13.98788,3.539848,12.59073,1000000.0,2000000000.0,-1.8759061499286744,-3.07212,-65.7365,-84.0783,-1.0348099999999999e-06,2.5515187727707627,5.537126,0.002630838,0.01277742,0.05209928,0.5911919,0.4080785,0.2309623,
71,0.0006175772,6.59122,13.98607,3.59122,12.57711,1000000.0,2000000000.0,-1.8938457277555756,-3.06015,-65.7287,-84.0722,-1.0382899999999998e-06,2.54968863466827,5.547899,0.002613959,0.0127064,0.05205081,0.5909561,0.4079264,0.2310782,
72,0.0006134918,6.6391279999999995,13.98088,3.639128,12.55702,1000000.0,2000000000.0,-1.8782606653568052,-3.04983,-65.7244,-84.0692,-1.04129e-06,2.548770659047327,5.558495,0.002596536,0.01263124,0.05198723,0.5905203,0.4079721,0.2310807,
73,0.0006093829,6.685257,13.97474,3.685257,12.53226,1000000.0,2000000000.0,-1.8350426745898218,-3.04067,-65.7228,-84.0701,-1.0434399999999999e-06,2.5479306448236962,5.568445,0.002578723,0.01255943,0.05188692,0.5897198,0.4081133,0.2309888,
74,0.0006051721,6.731644,13.97085,3.731644,12.50318,1000000.0,2000000000.0,-1.762669012937451,-3.03467,-65.721,-84.081,-1.04513e-06,2.549124890176562,5.577787,0.002560261,0.01248712,0.05180563,0.5887866,0.4083995,0.2307545,
75,0.0006009324,6.776022,13.96838,3.776022,12.48331,1000000.0,2000000000.0,-1.69938258644558,-3.0275,-65.714,-84.0837,-1.0486500000000001e-06,2.550615249238317,5.587963,0.002541751,0.01240923,0.05173496,0.5878732,0.4086691,0.2304369,
