Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
40,Rd,-0.0005735893897661203,-0.00038584444069578297,0.0,0.0,0.0,-0.00018774494907038242,Ibias,370.14645072064894,28.086915729218916,0.0,0.0,0.0,342.0595349914266,W1,-159.90265294741454,-196.73217328083152,0.0,0.0,0.0,36.829520333373175,W2,392.00825126958483,-1036.897752229184,0.0,0.0,0.0,1428.9060034988058,Alo,0.13145601882783228,0.13145601882780394,0.0,0.0,0.0,0.0,
41,Rd,-0.0005618174514398818,-0.00037701856638108175,0.0,0.0,0.0,-0.00018479888505884472,Ibias,370.1471956879595,27.972807890526887,0.0,0.0,0.0,342.1743877974299,W1,-144.71996199686444,-186.9161309477083,0.0,0.0,0.0,42.19616895089115,W2,396.19981525484286,-1006.783832261,0.0,0.0,0.0,1402.9836475158186,Alo,0.13221558715517198,0.13221558715516724,0.0,0.0,0.0,0.0,
42,Rd,-0.0005528133900300094,-0.00037132541279816424,0.0,0.0,0.0,-0.00018148797723181858,Ibias,370.2151905606314,27.924699466185487,0.0,0.0,0.0,342.29049109444554,W1,-130.68008874979458,-178.47177327422614,0.0,0.0,0.0,47.79168452445695,W2,385.14660091464,-993.2305683875775,0.0,0.0,0.0,1378.3771693023268,Alo,0.13144427070292566,0.13144427070297326,0.0,0.0,0.0,0.0,
43,Rd,-6.028938525659808e-05,-0.0003648247252862864,0.0,0.00048318744203839145,0.0,-0.00017865210200874751,Ibias,370.1255097980597,27.73793177150733,0.0,0.0,0.0,342.3875780265496,W1,-120.61339100635881,-173.70794589598717,0.0,0.0,0.0,53.09455488956694,W2,377.99637108820065,-976.0690241862443,0.0,0.0,0.0,1354.0653952742396,Alo,0.13067749296092943,0.13067749296089837,0.0,0.0,0.0,0.0,
44,Rd,-0.000681519238236795,-0.0005065892271378013,0.0,0.0,0.0,-0.0001749300110990289,Ibias,361.8804396550771,19.061543687538833,0.0,0.0,0.0,342.81889596753746,W1,-117.78072328934688,-176.4055244320269,0.0,0.0,0.0,58.624801142611624,W2,318.86978339091604,-1012.0675054492746,0.0,0.0,0.0,1330.9372888401185,Alo,0.08204420984445283,0.08204420984444324,0.0,0.0,0.0,0.0,
45,Rd,-0.0005929656952084063,-0.00041927305583496914,0.0,0.0,0.0,-0.0001736926393734806,Ibias,366.51736328656534,23.80217686322136,0.0,0.0,0.0,342.71518642334485,W1,-103.55792412259142,-165.8619035671707,0.0,0.0,0.0,62.303979444625945,W2,347.5447385071407,-963.6102663736103,0.0,0.0,0.0,1311.155004880751,Alo,0.10828347870274226,0.10828347870275667,0.0,0.0,0.0,0.0,
46,Rd,0.001946825749550547,-0.00037584655655294207,0.0,0.0024942247306571816,0.0,-0.00017155242455372375,Ibias,368.6374594995382,25.911422581588653,0.0,0.0,0.0,342.7260369179448,W1,-88.81543629247099,-155.55872064594388,0.0,0.0,0.0,66.74328435343357,W2,362.968829876999,-928.0511556562511,0.0,0.0,0.0,1291.0199855331907,Alo,0.12062876947362434,0.12062876947356166,0.0,0.0,0.0,0.0,
47,Rd,-0.0012627667834921434,-0.0010980694149160947,0.0,0.0,0.0,-0.00016469736857606062,Ibias,328.060691963833,-16.42031621681767,0.0,0.0,0.0,344.48100818065546,W1,-130.48246723482802,-204.21868675333934,0.0,0.0,0.0,73.7362195185969,W2,109.20097428322626,-1162.090665880981,0.0,0.0,0.0,1271.2916401642074,Alo,-0.12043725808558609,-0.12043725808553285,0.0,0.0,0.0,0.0,
48,Rd,-0.0009105509393859089,-0.0007420398022775322,0.0,0.0,0.0,-0.00016851113710837084,Ibias,347.50151017318404,3.7572021422677473,0.0,0.0,0.0,343.7443080309208,W1,-104.62556216609337,-177.0462736612637,0.0,0.0,0.0,72.4207114952307,W2,228.75592518805908,-1038.9847339394842,0.0,0.0,0.0,1267.7406591277895,Alo,0.0012928056805262406,0.0012928056805358848,0.0,0.0,0.0,0.0,
49,Rd,-0.0006948396169512049,-0.0005254608473717643,0.0,0.0,0.0,-0.00016937876957937685,Ibias,359.5051656002854,16.125936443388785,0.0,0.0,0.0,343.3792291568962,W1,-83.31916101565844,-157.27536541750055,0.0,0.0,0.0,73.95620440192705,W2,308.4813240069206,-948.1545652320059,0.0,0.0,0.0,1256.6358892391597,Alo,0.07332220477188313,0.07332220477192412,0.0,0.0,0.0,0.0,
