Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
220,0.48153334999999997,0.0,0.0,0.0,0.0,0.48153334999999997,
221,0.47912604999999997,0.0,0.0,0.0,0.0025972499999999954,0.4765288,
222,0.4799481,0.0,0.0,0.0,0.0,0.4799481,
223,0.47916175000000005,0.0,0.0,0.0,0.004118000000000066,0.47504375,
224,0.47886875000000007,0.0,0.0,0.0,0.00019900000000006024,0.47866975,
225,0.4817128000000001,0.0011592000000000269,0.0,0.0,0.001427250000000102,0.47912635,
226,0.48200295,0.0,0.0,0.0,0.0,0.48200295,
227,0.4816477500000001,0.0008435000000000415,0.0,0.0,0.0029772500000000424,0.477827,
228,0.4822089,0.0,0.0,0.0,0.0,0.4822089,
229,0.4799525499999999,0.0,0.0,0.0,0.0021964999999999346,0.47775605,
230,0.480399,0.0,0.0,0.0,0.0,0.480399,
231,0.479682,0.0,0.0,0.0,0.0037409999999999943,0.475941,
232,0.47938325,0.0,0.0,0.0,0.0,0.47938325,
233,0.48012349999999987,0.000552499999999867,0.0,0.0,0.004589500000000024,0.4749815,
234,0.47896679999999997,0.0,0.0,0.0,0.0,0.47896679999999997,
235,0.48277924999999977,0.002144399999999891,0.0,0.0,0.005455999999999905,0.47517885,
236,0.47989285,0.0,0.0,0.00031999999999996474,0.0,0.47957285,
237,0.4824084999999999,0.0,0.0,0.0,0.0009922499999999168,0.48141625,
238,0.4825669,0.0,0.0,0.0,0.0,0.4825669,
239,0.4797070999999999,0.0,0.0,0.0,0.0022694999999999244,0.47743759999999996,
240,0.4801973,0.0,0.0,0.0,0.0,0.4801973,
241,0.4782495500000001,0.0,0.0,0.0,0.0028267500000001,0.4754228,
242,0.47894479999999995,0.0,0.0,0.0,0.0,0.47894479999999995,
243,0.47851905000000006,0.0,0.0,0.0,0.004143500000000078,0.47437555,
244,0.4778134,0.0,0.0,0.0,0.0,0.4778134,
245,0.47894169999999986,0.0,0.0,0.0,0.006296249999999892,0.47264544999999997,
246,0.4784111833333333,0.0,0.0,0.0007733333333333073,0.0,0.47763785000000003,
247,0.4824806000000001,0.0007768999999999693,0.0,0.0,0.001611500000000099,0.4800922,
248,0.48288085000000003,0.0,0.0,0.0,0.0,0.48288085000000003,
249,0.47774934999999996,0.0,0.0,0.0,0.0,0.47774934999999996,
250,0.47777495,0.0,0.0,0.0,0.004781499999999994,0.47299345,
251,0.47769510000000004,0.0,0.0,0.0,0.0012332500000000746,0.47646184999999996,
252,0.4781876000000001,0.0,0.0,0.0,5.0000000000105516e-05,0.4781376,
253,0.47868245,0.0,0.0,0.0,0.00041924999999998214,0.4782632,
254,0.47872425,0.0,0.0,0.0,0.0,0.47872425,
255,0.4772508000000001,0.0,0.0,0.0,0.0034970000000000834,0.4737538,
256,0.47778394999999996,0.0,0.0,0.0,0.0002014999999999656,0.47758245,
257,0.47862174999999996,0.0,0.0,0.0,0.0006987499999999702,0.477923,
258,0.47875534999999997,0.0,0.0,0.0,0.0,0.47875534999999997,
259,0.4772951499999999,0.0,0.0,0.0,0.003474999999999895,0.47382015,
260,0.4775292,0.0,0.0,0.0,0.0,0.4775292,
261,0.47965825,0.002088200000000029,0.0,0.0,0.00486999999999993,0.47270005000000004,
262,0.47859011666666673,0.0,0.0,0.0012466666666667218,0.0,0.47734345,
263,0.48160925,0.0005057000000000756,0.0,0.0,0.0010224999999999262,0.48008105,
264,0.48183580000000004,0.0,0.0,0.0,0.0,0.48183580000000004,
265,0.4778137,0.0,0.0,0.0,0.0011695000000000455,0.47664419999999996,
266,0.47816225,0.0,0.0,0.0,0.0,0.47816225,
267,0.4773001499999999,0.0,0.0,0.0,0.004008999999999929,0.47329115,
268,0.47704335,0.0,0.0,0.0,9.174999999994604e-05,0.47695160000000003,
269,0.47886005000000004,0.0,0.0,0.0,0.0015777500000000444,0.4772823,
270,0.4792296,0.0,0.0,0.0,0.0,0.4792296,
271,0.47716139999999996,0.0,0.0,0.0,0.0028892499999999544,0.47427215,
272,0.4779546,0.0,0.0,0.0,0.0,0.4779546,
273,0.47842134999999997,0.0011953999999999355,0.0,0.0,0.004163499999999987,0.47306245,
274,0.47795139999999997,0.0,0.0,0.0,0.0,0.47795139999999997,
275,0.48319565000000014,0.0037067000000000406,0.0,0.0,0.005380750000000045,0.47410820000000004,
276,0.4815853666666666,0.0,0.0,0.003066666666666625,0.0,0.4785187,
277,0.48118279999999997,0.0,0.0,0.0,0.0,0.48118279999999997,
278,0.47824824999999993,0.0,0.0,0.0,0.002223749999999969,0.47602449999999996,
279,0.47875674999999995,0.0,0.0,0.0,0.0,0.47875674999999995,
280,0.47828224999999996,0.0,0.0,0.0,0.003861749999999997,0.47442049999999997,
281,0.47788,0.0,0.0,0.0,0.0,0.47788,
282,0.4778507500000001,0.0,0.0,0.0,0.00444375000000008,0.473407,
283,0.4768224,0.0,0.0,0.0,0.0,0.4768224,
284,0.47791854999999994,0.0,0.0,0.0,0.005422999999999956,0.47249555,
285,0.47593075,0.0,0.0,0.0,1.125000000001819e-05,0.4759195,
286,0.47935630000000007,0.0,0.0,0.0,0.002710250000000025,0.47664605000000004,
287,0.48003845,0.0,0.0,0.0,0.0,0.48003845,
288,0.47605644999999996,0.0,0.0,0.0,0.0010942499999999633,0.4749622,
