Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
72,0.00100204,10.304413,12.47819,7.304413,12.13324,50000000.0,2000000000.0,11.315483411538622,-15.017,-66.7448,-86.567,-7.84512e-07,4.195016149800386,3.997074,0.004099757,0.01871354,0.05875737,0.657481,0.6624007,0.2719116,
73,0.0009924531,10.212221,12.40613,7.212221,12.06184,50000000.0,2000000000.0,10.339913140433765,-15.0997,-66.8269,-86.7013,-7.80965e-07,4.279085655164492,4.022869,0.004049245,0.01856827,0.05856046,0.6518209,0.6695377,0.2685381,
74,0.0009992612,10.268595000000001,12.45082,7.268595,12.10619,50000000.0,2000000000.0,10.948005709042448,-15.0451,-66.7765,-86.6123,-7.82462e-07,4.220542385242138,4.003581,0.004085006,0.01868104,0.0586441,0.6561391,0.665073,0.2714067,
75,0.001001823,10.257323,12.44578,7.257323,12.10264,50000000.0,2000000000.0,11.027282417957665,-15.0529,-66.785,-86.6094,-7.80489e-07,4.212682734785455,3.998919,0.004097645,0.01872981,0.05863198,0.6580915,0.6651301,0.2730202,
76,0.0009906159,10.230046,12.40296,7.230046,12.05683,50000000.0,2000000000.0,10.309089781140585,-15.0466,-66.8177,-86.6779,-7.812719999999999e-07,4.265304007173972,4.015774,0.004043957,0.01855582,0.05844553,0.653885,0.669715,0.2706158,
77,0.0009979531,10.248942,12.42596,7.248942,12.08172,50000000.0,2000000000.0,10.774857966342708,-15.0339,-66.7976,-86.6253,-7.80086e-07,4.224222436848975,4.00074,0.004080726,0.01867835,0.05852084,0.6582054,0.6669659,0.2736315,
78,0.0009993671,10.194695,12.39646,7.194695,12.05555,50000000.0,2000000000.0,10.59665892162613,-15.0963,-66.8405,-86.6756,-7.760339999999999e-07,4.246708855163644,4.005867,0.004085094,0.01870446,0.05850682,0.65833,0.6692528,0.2739351,
79,0.00100272,10.241878,12.43179,7.241878,12.09095,50000000.0,2000000000.0,10.973527286225817,-15.0495,-66.7987,-86.6153,-7.7803e-07,4.208868490926924,3.992524,0.004104129,0.01876713,0.0585887,0.6612331,0.6662845,0.2758508,
80,0.0009915591,10.208586,12.38531,7.208586,12.04186,50000000.0,2000000000.0,10.235782852307011,-15.0497,-66.8363,-86.69,-7.78394e-07,4.264505736472932,4.010163,0.004050431,0.01859335,0.05840322,0.657003,0.6711322,0.2734436,
81,0.0009984889,10.232421,12.41062,7.232421,12.06861,50000000.0,2000000000.0,10.699168274480215,-15.0309,-66.8124,-86.6337,-7.776659999999999e-07,4.222311400588317,3.99509,0.004085448,0.01870954,0.05847386,0.6611783,0.6682559,0.2763499,
82,0.0009881032,10.166348,12.34744,7.166348,12.00472,50000000.0,2000000000.0,9.88638096061203,-15.0718,-66.8756,-86.7406,-7.757729999999999e-07,4.293593964820628,4.017017,0.004033566,0.01854893,0.05828445,0.6564791,0.674378,0.273667,
83,0.0009949653,10.223658,12.39353,7.223658,12.05042,50000000.0,2000000000.0,10.462675046409927,-15.0179,-66.8242,-86.6505,-7.77343e-07,4.234285763585208,3.99758,0.004069533,0.01866301,0.05836891,0.6608285,0.6699026,0.2765535,
84,0.0009854223,10.132822,12.32068,7.132822,11.97824,50000000.0,2000000000.0,9.60841113986534,-15.0954,-66.9058,-86.7826,-7.738629999999999e-07,4.318078066413032,4.023383,0.004019547,0.01851665,0.05817847,0.6552263,0.6768041,0.2731993,
85,0.0009923169,10.190898,12.36775,7.190898,12.02486,50000000.0,2000000000.0,10.155970586104687,-15.0418,-66.8535,-86.6919,-7.754809999999999e-07,4.257971674178782,4.003694,0.004055638,0.0186315,0.05826287,0.6595854,0.6723213,0.2760919,
86,0.0009949759,10.175334,12.36032,7.175334,12.01918,50000000.0,2000000000.0,10.215885116917832,-15.0545,-66.8654,-86.6926,-7.73196e-07,4.251599795766195,3.999446,0.004068655,0.01868235,0.05824954,0.6616258,0.6725515,0.2777932,
87,0.0009838575,10.150386000000001,12.31813,7.150386,11.97393,50000000.0,2000000000.0,9.591753482582561,-15.0433,-66.8965,-86.7582,-7.74113e-07,4.303304149568258,4.01622,0.004015568,0.01850798,0.05806936,0.6574195,0.6769001,0.2753612,
88,0.0009913298,10.165761,12.34021,7.165761,11.99809,50000000.0,2000000000.0,9.99699738417931,-15.037,-66.8788,-86.7089,-7.7269e-07,4.263220250622303,4.001465,0.00405276,0.01863374,0.05814329,0.6617753,0.6743237,0.2784177,
89,0.0009928272,10.125119999999999,12.31928,7.12512,11.97808,50000000.0,2000000000.0,9.878401400359976,-15.086,-66.9113,-86.7508,-7.69246e-07,4.280079730574795,4.003876,0.004058808,0.01866516,0.05818614,0.6626639,0.6760198,0.2791685,
90,0.0009949878,10.156382,12.3398,7.156382,11.99759,50000000.0,2000000000.0,10.09897468368409,-15.0476,-66.8851,-86.7054,-7.702569999999999e-07,4.251318298662775,3.994121,0.004071221,0.01870696,0.05818324,0.6647441,0.6741148,0.2807181,
91,0.0009840104,10.119624,12.29045,7.119624,11.94589,50000000.0,2000000000.0,9.450049542872136,-15.0492,-66.9258,-86.7827,-7.70343e-07,4.308759564558533,4.01237,0.004018371,0.0185344,0.05800322,0.6605192,0.6789645,0.2783071,
92,0.0009913676,10.145379,12.31887,7.145379,11.97579,50000000.0,2000000000.0,9.882136389677157,-15.0319,-66.8996,-86.7231,-7.69676e-07,4.263712742090172,3.99648,0.004055414,0.01865798,0.05808077,0.6648956,0.6759282,0.281335,
93,0.0009810293,10.080712,12.25506,7.080712,11.91126,50000000.0,2000000000.0,9.181665210969939,-15.0677,-66.9623,-86.8277,-7.67853e-07,4.334643572952024,4.018421,0.004004065,0.01849632,0.0578976,0.6602761,0.6818348,0.278691,
94,0.0009879958,10.138456,12.30281,7.138456,11.95859,50000000.0,2000000000.0,9.690683415069742,-15.0163,-66.91,-86.7371,-7.69448e-07,4.274285323679244,3.99871,0.004040397,0.01861284,0.05798243,0.6646659,0.6774032,0.2816064,
95,0.0009786555,10.044128,12.22745,7.044128,11.88414,50000000.0,2000000000.0,8.9390809607238,-15.096,-66.9945,-86.8719,-7.65725e-07,4.360081674271769,4.025217,0.003991234,0.01846865,0.0577955,0.6589249,0.6842314,0.2781335,
96,0.0009856356,10.103977,12.27694,7.103977,11.93309,50000000.0,2000000000.0,9.42674751094114,-15.0435,-66.9404,-86.7795,-7.67467e-07,4.2984432822470096,4.005111,0.004027657,0.01858545,0.05788135,0.6633278,0.679735,0.2810499,
97,0.0009891656,10.101648,12.28002,7.101648,11.93751,50000000.0,2000000000.0,9.568115505531068,-15.0455,-66.9405,-86.7633,-7.658909999999999e-07,4.281962500546905,3.998084,0.004045302,0.01865004,0.05788603,0.665799,0.6790739,0.2829717,
98,0.0009783558,10.061139,12.22798,7.061139,11.88337,50000000.0,2000000000.0,8.97151885959211,-15.0494,-66.9844,-86.8435,-7.656769999999999e-07,4.34111410884132,4.016839,0.003993171,0.01847952,0.05770757,0.6615848,0.6839836,0.2805761,
99,0.0009856617,10.090412,12.26235,7.090412,11.92037,50000000.0,2000000000.0,9.362228811616816,-15.0367,-66.9533,-86.7868,-7.65506e-07,4.297381716486353,4.000648,0.004030205,0.01860549,0.05784082,0.6661112,0.6809074,0.2835897,
100,0.0009867732,10.041132000000001,12.23399,7.041132,11.89503,50000000.0,2000000000.0,9.237741181411977,-15.0903,-66.9928,-86.8318,-7.61858e-07,4.31795322460598,4.005429,0.004033764,0.01862631,0.05782848,0.6664081,0.6829385,0.2840115,
101,0.0009899616,10.083427,12.26414,7.083427,11.92398,50000000.0,2000000000.0,9.51899863187181,-15.0445,-66.9565,-86.7714,-7.63379e-07,4.279696185180651,3.992918,0.004051411,0.01868404,0.05784651,0.6689787,0.6802678,0.2858267,
102,0.00097914,10.041053999999999,12.21084,7.041054,11.86871,50000000.0,2000000000.0,8.920024706417337,-15.0503,-67.002,-86.8537,-7.63047e-07,4.339958517926957,4.012004,0.003999164,0.01851271,0.05766991,0.664743,0.6852445,0.2834131,
103,0.000986523,10.070471999999999,12.24241,7.070472,11.90154,50000000.0,2000000000.0,9.324375175465121,-15.0313,-66.9725,-86.7904,-7.62657e-07,4.292699270019653,3.995609,0.0040364,0.01863725,0.05774872,0.6691541,0.6820715,0.2864507,
104,0.0009762999,10.004266999999999,12.17724,7.004267,11.83576,50000000.0,2000000000.0,8.68886213584068,-15.0671,-67.0365,-86.8961,-7.607129999999999e-07,4.364520708812566,4.017927,0.003985558,0.01847649,0.05756791,0.6644651,0.687896,0.2837461,
105,0.0009833435,10.062921,12.22666,7.062921,11.88469,50000000.0,2000000000.0,9.154651251778802,-15.0172,-66.9831,-86.8045,-7.62372e-07,4.303142795234314,3.997942,0.004022178,0.01859498,0.05765259,0.6688862,0.6834771,0.2866833,
106,0.000974019,9.96988,12.15087,6.96988,11.8098,50000000.0,2000000000.0,8.479947781646672,-15.0926,-67.0671,-86.9375,-7.587259999999999e-07,4.388665213668787,4.024425,0.003973314,0.01844964,0.0574706,0.6631747,0.6901158,0.2832135,
