n,Io,W,Rb,Rd,fo,Vg,Vs,Vd,Vth,iip3,gain,s11,nf,FOM,PWR,gm
215,7.298996899684538e-05,2.504056602752679e-05,76.45541430534237,3559.784773740147,2000000000.0,0.5269277,0.0081381,1.4211,0.4958851,1.7282,15.6492,-17.4807,10.941290821865056,14.71921867714294,0.0003229787,0.0020495
216,6.858622080572356e-05,2.5270224902977742e-05,73.60122087193119,3566.8348098360498,2000000000.0,0.5229039,0.0074837,1.4373,0.49560550000000003,2.5786,15.35,-18.4141,11.21103126889184,15.205588831256613,0.0003064776,0.0019759
217,6.532813982601797e-05,2.5323639525774342e-05,71.44943593046418,3571.03959894014,2000000000.0,0.520054,0.0070064,1.4498,0.4953942,3.0628,15.1192,-19.2266,11.432714720326915,15.398651543348175,0.0002941024,0.0019176
218,6.493228256230585e-05,2.5000295522204928e-05,70.45326226121769,3604.1466765456894,2000000000.0,0.5202444,0.0068678,1.4487,0.4953536,3.1243,15.1509,-19.6711,11.503778603881308,15.4414055991106,0.0002923419,0.0019039999999999999
219,6.482078610280788e-05,2.4647606191320017e-05,69.59014210316093,3640.4456438503876,2000000000.0,0.5207355,0.0067644,1.4462,0.4953306,3.1589,15.2085,-20.0885,11.559080819494476,15.484492412978266,0.0002916447,0.0018951
220,6.461276005282413e-05,2.4316099310827288e-05,68.72685760616503,3675.783377847889,2000000000.0,0.5211204,0.0066541,1.4441,0.4953033,3.2,15.257,-20.5298,11.618933058261241,15.525690082835144,0.00029057819999999995,0.0018847
221,6.441926429181603e-05,2.3990922935249163e-05,67.8980975319482,3710.999144780196,2000000000.0,0.521515,0.006549,1.4421,0.495277,3.2401,15.3045,-20.9824,11.677639482478508,15.565365173564103,0.0002895701,0.0018745
222,6.422741740781344e-05,2.3676747813044847e-05,67.10465534622544,3746.1133759892596,2000000000.0,0.5219017,0.0064481,1.44,0.49525189999999997,3.2787,15.3509,-21.444,11.735254414938186,15.60360301644761,0.0002885701,0.0018646000000000001
223,6.40108649994554e-05,2.3368441157074603e-05,66.33041115294752,3780.9792897081707,2000000000.0,0.5222688000000001,0.0063476999999999995,1.4382,0.495226,3.3184,15.3948,-21.9244,11.79394460183529,15.640814257907145,0.00028747649999999995,0.0018542
224,6.380952151145906e-05,2.306809044154676e-05,65.58425651794452,3815.3645592307903,2000000000.0,0.5226438000000001,0.006252,1.4363,0.4952011,3.3571,15.4377,-22.4193,11.851149523414911,15.67674737681433,0.0002864482,0.0018443
225,6.357804656793857e-05,2.2770977132330158e-05,64.85387862156728,3849.8706303142053,2000000000.0,0.5229937,0.0061558,1.4346,0.4951755,3.3966,15.4786,-22.9354,11.909955270990633,15.71182522536135,0.0002852922,0.0018336
226,6.334249738254003e-05,2.248612420812056e-05,64.15110284766334,3882.9186822098936,2000000000.0,0.5233258,0.0060629,1.433,0.4951496,3.437,15.5159,-23.4678,11.968176146891917,15.744992701864348,0.0002841339,0.0018231999999999999
227,6.312240659575618e-05,2.2208349634605283e-05,63.48106850735998,3916.8718896060955,2000000000.0,0.5236667,0.0059747,1.4313,0.49512580000000006,3.4739,15.5546,-24.011,12.02457631504101,15.77726750929691,0.0002830319,0.0018131
228,6.287962253721208e-05,2.1939586343437793e-05,62.831178608356815,3949.9470803639774,2000000000.0,0.5239772,0.0058876,1.4299,0.49510109999999996,3.5123,15.5895,-24.5743,12.081388239001718,15.808110908018161,0.0002818527,0.0018027
229,6.264791977307924e-05,2.1679498394262875e-05,62.19999132835974,3982.957029878936,2000000000.0,0.5242894,0.0058035,1.4284,0.4950774,3.5494,15.6243,-25.1609,12.137319638975972,15.838001586545168,0.0002807135,0.0017926
230,6.240656106016598e-05,2.1422192222639183e-05,61.58981050972372,4016.0605405828605,2000000000.0,0.5245939,0.0057213,1.4269,0.49505380000000004,3.5862,15.6577,-25.7676,12.19317328402796,15.866941778598184,0.0002795392,0.0017824
231,6.216201914383207e-05,2.1175205087763585e-05,61.005063184668266,4049.0936901103332,2000000000.0,0.5248816000000001,0.0056416,1.4256,0.49503070000000005,3.622,15.6897,-26.3899,12.24813714930695,15.89475201356917,0.00027835219999999995,0.0017722
232,6.191458710157716e-05,2.0932731388243408e-05,60.44403104494269,4083.024273053091,2000000000.0,0.5251646,0.0055644,1.4241,0.4950086,3.6559,15.7218,-27.0265,12.302314681219153,15.921921035953462,0.0002771526,0.0017621
233,6.165875310820336e-05,2.0697785426326474e-05,59.89256157961888,4116.067853827353,2000000000.0,0.5254311,0.0054882,1.4228,0.49498590000000003,3.6909,15.7515,-27.6936,12.35679101996289,15.948020880792905,0.0002759262,0.0017519
234,6.140734840691587e-05,2.0469000680821722e-05,59.362117563705944,4148.635309405857,2000000000.0,0.5256946,0.0054146,1.4216,0.494964,3.7248,15.7806,-28.3769,12.410362828684924,15.97324372519273,0.0002747167,0.0017418
235,6.114715971990938e-05,2.02441580591007e-05,58.8467740374174,4180.726431892204,2000000000.0,0.5259488999999999,0.0053426,1.4204,0.49494150000000003,3.7594,15.8076,-29.0769,12.463908995379885,15.997620797704098,0.000273482,0.0017317
236,6.0890685028797286e-05,2.002311697904838e-05,58.34955573547701,4213.310862472145,2000000000.0,0.526204,0.0052729,1.4193,0.4949196,3.7929,15.8342,-29.7841,12.51668679456905,16.021185602139052,0.0002722634,0.0017218000000000001
237,9.742509604607564e-05,2.0533423681163634e-05,93.35928917676321,4274.416039699949,2000000000.0,0.5551305999999999,0.011827299999999999,1.2585,0.49779629999999997,-2.0691,17.8598,-13.6133,9.919332308554678,13.290931274747793,0.0004034008,0.0022681
238,0.0001050516253289871,2.1545525604349182e-05,37.343715670705286,4217.520990250497,2000000000.0,0.5501458,0.005182000000000001,1.2147,0.4962635,2.3859,18.234,-14.3522,12.980596138806643,14.450606517165582,0.0004388671,0.0024589
239,0.00010417876371699552,2.1906591558201648e-05,59.74994507312846,4254.167951554634,2000000000.0,0.5517395,0.0081307,1.2211,0.4970585,0.0239793,18.1356,-29.8557,11.074518521617346,14.088922770871491,0.0004324653,0.0024315
240,0.00010256010700149616,2.1928211586690803e-05,58.91062506540192,4286.02575689781,2000000000.0,0.5506588,0.0079179,1.2239,0.49698190000000003,0.14345660000000002,18.0968,-30.6317,11.15654621513292,14.140636193933545,0.0004265375,0.0024086
241,0.00010080697781727154,2.194999386968618e-05,58.08383505356956,4313.432799365689,2000000000.0,0.5494931000000001,0.0077033,1.228,0.496897,0.2763603,18.0468,-31.2081,11.242174805194269,14.196154464986359,0.00042017469999999996,0.0023842
242,9.892746771342734e-05,2.19737109184662e-05,57.265647769839305,4337.7180126318335,2000000000.0,0.5482410999999999,0.007486,1.2329,0.4968057,0.4222799,17.988,-31.4786,11.331788954786381,14.257377141911794,0.00041336939999999994,0.0023579
243,9.688871771693621e-05,2.2001183370102175e-05,56.45478814066253,4356.9318263014875,2000000000.0,0.5468786999999999,0.0072652,1.2393,0.49670440000000005,0.5875909,17.9154,-31.3823,11.426227494156667,14.325907673003126,0.0004060421,0.0023297
244,9.468908974256776e-05,2.2036899279102435e-05,55.646441603729855,4372.92329750126,2000000000.0,0.5453853000000001,0.0070393999999999995,1.2468,0.4965949,0.7739214,17.8302,-30.9318,11.526162136561656,14.404717317435988,0.00039814729999999995,0.0022993
245,9.229839475184038e-05,2.2083441829766128e-05,54.8405037676055,4384.269214492753,2000000000.0,0.5437360999999999,0.006808,1.2558,0.4964747,0.9878452999999999,17.7287,-30.2187,11.632539500214918,14.497193060514455,0.0003895885,0.0022662
246,8.970018944345222e-05,2.2144077226265506e-05,54.030717270776634,4390.157055072492,2000000000.0,0.5419025000000001,0.0065689,1.2663,0.4963431,1.2367,17.6087,-29.3417,11.746862031014494,14.608228245991079,0.0003802986,0.0022303
247,8.685152446756366e-05,2.221875931969606e-05,53.2042645684042,4389.714170930244,2000000000.0,0.5398496,0.0063188,1.2786,0.4961972,1.5325,17.4659,-28.3759,11.872124733546965,14.745025908704,0.0003701132,0.0021906
248,8.372908837489903e-05,2.2315488146245348e-05,52.364900794400626,4382.126557464936,2000000000.0,0.5375344,0.0060576,1.2931,0.4960352,1.8887,17.2949,-27.3884,12.009731520064257,14.916391502056072,0.00035893599999999997,0.0021467
249,8.031351362261101e-05,2.243383894794483e-05,51.5040489262366,4366.327856273037,2000000000.0,0.5349246000000001,0.005783000000000001,1.3098,0.49585629999999997,2.3205,17.0916,-26.4031,12.16285537142946,15.132614853261137,0.0003466751,0.002098
250,7.663044139163994e-05,2.2571475295534167e-05,50.641360916446466,4340.896594615861,2000000000.0,0.5320280000000001,0.0054986,1.3287,0.49566109999999997,2.8338,16.8532,-25.466,12.33219868335119,15.397291398275541,0.0003333783,0.0020440999999999996
251,7.282486939931418e-05,2.2707777400130707e-05,49.79185364934219,4306.828985754723,2000000000.0,0.5289651,0.005213199999999999,1.3491,0.4954559,3.3988,16.5857,-24.5973,12.51551319434272,15.684391715524562,0.0003195457,0.0019865
252,0.0001165197910389027,2.3565147140058566e-05,79.6669658389475,4267.37558335755,2000000000.0,0.5576303,0.0116959,1.1736,0.4984104,-1.821,18.4334,-17.3229,9.84429855569034,13.495893118162467,0.0004739945,0.0026214
