Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,f_lower,f_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
49,0.001032391,10.429668,12.63192,7.429668,12.29511,50000000.0,2000000000.0,13.252092608758034,-15.1409,-66.6433,-86.4218,-7.88792e-07,4.100801447242235,3.987896,0.004232708,0.01909016,0.05959238,0.6555393,0.6466801,0.2662352,
50,0.001017054,10.432195,12.60148,7.432195,12.25858,50000000.0,2000000000.0,12.640174272332274,-15.1,-66.6539,-86.4751,-7.92562e-07,4.150314276804551,4.004648,0.004160514,0.01885626,0.05934642,0.6501538,0.6511267,0.2630531,
51,0.001020221,10.480242,12.63409,7.480242,12.29122,50000000.0,2000000000.0,12.939297309072828,-15.0445,-66.6126,-86.4124,-7.94439e-07,4.11173818050582,3.990377,0.004179281,0.0189184,0.05941515,0.653339,0.6480976,0.2652478,
52,0.001006132,10.427488,12.56857,7.427488,12.22153,50000000.0,2000000000.0,11.989183065927094,-15.0569,-66.6695,-86.5121,-7.93923e-07,4.182398166384083,4.012863,0.004110501,0.01870085,0.05910316,0.6479007,0.6550066,0.2623461,
53,0.001014731,10.46909,12.60798,7.46909,12.26361,50000000.0,2000000000.0,12.638925249179351,-15.0214,-66.6291,-86.4357,-7.939769999999999e-07,4.128068561653562,3.992647,0.004154917,0.01884597,0.05925997,0.6533324,0.6507791,0.265959,
54,0.001002153,10.365428999999999,12.52428,7.365429,12.17996,50000000.0,2000000000.0,11.394696738840352,-15.1128,-66.7224,-86.5937,-7.903279999999999e-07,4.227011038533334,4.022753,0.00408959,0.01865715,0.05900414,0.6466524,0.6596613,0.2620763,
55,0.001010513,10.432826,12.576,7.432826,12.23143,50000000.0,2000000000.0,12.206815056167201,-15.0426,-66.6629,-86.4853,-7.91984e-07,4.156640162588397,3.999335,0.004133729,0.01879468,0.05910713,0.6519816,0.6541181,0.2656218,
56,0.0009966399,10.377913,12.51163,7.377913,12.1645,50000000.0,2000000000.0,11.139518849082876,-15.0617,-66.72,-86.5923,-7.915289999999999e-07,4.231841266038951,4.02243,0.004066245,0.01858203,0.05886343,0.6467477,0.6610544,0.2627404,
57,0.001005245,10.430022000000001,12.55504,7.430022,12.20858,50000000.0,2000000000.0,11.88595553697759,-15.0099,-66.6726,-86.499,-7.920709999999999e-07,4.168302799242611,4.000596,0.004110833,0.01872432,0.05896275,0.6520817,0.6562457,0.2663504,
58,0.001008829,10.303303,12.49665,7.303303,12.15746,50000000.0,2000000000.0,11.396326750595179,-15.1782,-66.7694,-86.6242,-7.832239999999999e-07,4.22592225214724,4.016162,0.004119507,0.01878847,0.05893601,0.6500373,0.6613332,0.2651316,
59,0.001017233,10.371252,12.5488,7.371252,12.20932,50000000.0,2000000000.0,12.218162506158166,-15.1074,-66.7093,-86.515,-7.84923e-07,4.155196879549618,3.992726,0.004163886,0.01892702,0.05903778,0.6553805,0.6557886,0.2686917,
60,0.001002296,10.372448,12.51657,7.372448,12.17114,50000000.0,2000000000.0,11.35724152045887,-15.0638,-66.7214,-86.5678,-7.88537e-07,4.205039784368999,4.009796,0.004093688,0.01869603,0.05880316,0.6500606,0.6601045,0.2655328,
61,0.001010169,10.429347,12.56322,7.429347,12.21606,50000000.0,2000000000.0,12.054425490542116,-15.0099,-66.6707,-86.4803,-7.89465e-07,4.145115035187978,3.988462,0.004135189,0.01883026,0.05895157,0.6552713,0.6553304,0.2689521,
62,0.0009985471,10.297718,12.46809,7.297718,12.12255,50000000.0,2000000000.0,10.704056187113366,-15.1412,-66.785,-86.6664,-7.84017e-07,4.258066820021095,4.023085,0.004072112,0.01865627,0.05869774,0.6475953,0.6650463,0.2643241,
63,0.001006999,10.366819,12.52201,7.366819,12.17613,50000000.0,2000000000.0,11.495135942924549,-15.0716,-66.7236,-86.5566,-7.85789e-07,4.186261091018079,3.999262,0.004116633,0.01879602,0.05880133,0.6529631,0.6594793,0.2678923,
64,0.0009923575,10.367335,12.48894,7.367335,12.13717,50000000.0,2000000000.0,10.688033544611244,-15.0269,-66.7363,-86.6088,-7.89341e-07,4.236067731747939,4.016521,0.004047917,0.01856741,0.0585763,0.6477349,0.6637182,0.2647769,
65,0.001002567,10.345642,12.49604,7.345642,12.14922,50000000.0,2000000000.0,11.115061347892109,-15.0702,-66.7461,-86.5894,-7.847669999999999e-07,4.207079497678158,4.003862,0.004095733,0.018739,0.0586604,0.6521165,0.662081,0.267881,
66,0.001005223,10.384578000000001,12.5203,7.384578,12.17229,50000000.0,2000000000.0,11.440897011446637,-15.0196,-66.714,-86.5325,-7.85995e-07,4.171744107983505,3.991646,0.004111204,0.01879016,0.05865734,0.6547172,0.6596241,0.2698112,
67,0.000992971,10.276155,12.43291,7.276155,12.08531,50000000.0,2000000000.0,10.248677774908842,-15.1134,-66.8115,-86.6933,-7.81996e-07,4.273055123548411,4.022725,0.004047324,0.01860398,0.05840999,0.6479125,0.6683866,0.2658112,
68,0.001001376,10.347781000000001,12.49235,7.347781,12.14562,50000000.0,2000000000.0,10.988906568064621,-15.0497,-66.7459,-86.5878,-7.842039999999999e-07,4.203257947394519,3.998728,0.004091789,0.01874646,0.05857225,0.6534299,0.662838,0.2693658,
69,0.0009874907,10.307192,12.43496,7.307192,12.08488,50000000.0,2000000000.0,10.093343475049537,-15.0493,-66.7919,-86.6793,-7.847479999999999e-07,4.271917394241327,4.020582,0.004025048,0.0185298,0.05834265,0.6482265,0.668884,0.2664175,
70,0.000996568,10.337171999999999,12.46735,7.337172,12.11929,50000000.0,2000000000.0,10.680220403541284,-15.0261,-66.7617,-86.6077,-7.83692e-07,4.217672630968709,4.000918,0.004070802,0.01868175,0.0584372,0.6536167,0.6651516,0.2701552,
71,0.0009990471,10.253072,12.42489,7.253072,12.08195,50000000.0,2000000000.0,10.410652665527266,-15.1291,-66.8272,-86.6867,-7.77511e-07,4.2531081338697065,4.009529,0.004078125,0.01872713,0.05841715,0.6532148,0.6685393,0.2701274,
72,0.001006571,10.321652,12.47712,7.321652,12.13345,50000000.0,2000000000.0,11.1249185487967,-15.0588,-66.7668,-86.5808,-7.79514e-07,4.185001964615111,3.987149,0.00411813,0.01885303,0.05850528,0.6581823,0.6632984,0.2734466,
73,0.0009922578,10.299902,12.43082,7.299902,12.0826,50000000.0,2000000000.0,10.265134192386824,-15.0381,-66.7976,-86.6549,-7.814129999999999e-07,4.245129340811461,4.006875,0.004050027,0.01862942,0.0582755,0.6528867,0.6685144,0.2703699,
74,0.000998245,10.301705,12.43968,7.301705,12.09363,50000000.0,2000000000.0,10.571578952334235,-15.037,-66.793,-86.6237,-7.79251e-07,4.216511400515719,3.99503,0.004079876,0.01873464,0.05830591,0.6567458,0.6670412,0.273259,
75,0.0009848371,10.233818,12.36614,7.233818,12.01838,50000000.0,2000000000.0,9.64277897882205,-15.0657,-66.8612,-86.7414,-7.7781e-07,4.297916151421623,4.020086,0.004014299,0.01852586,0.05807142,0.6514604,0.6742048,0.2703472,
76,0.0009934069,10.300874,12.42296,7.300874,12.07315,50000000.0,2000000000.0,10.288573244967466,-15.0086,-66.8007,-86.6419,-7.7931e-07,4.229354670105344,3.996306,0.004059202,0.01867215,0.05822993,0.657011,0.6689075,0.2739491,
77,0.0009822095,10.165386999999999,12.32305,7.165387,11.97533,50000000.0,2000000000.0,9.220195712024179,-15.1378,-66.919,-86.8286,-7.735549999999999e-07,4.344906503415465,4.032062,0.003998354,0.01850083,0.05799307,0.6492731,0.6782584,0.2692126,
78,0.0009908595,10.238622,12.3827,7.238622,12.03438,50000000.0,2000000000.0,9.856410776525038,-15.0706,-66.853,-86.7152,-7.75602e-07,4.269230380604166,4.007116,0.004043604,0.01864555,0.05809766,0.6547258,0.6726413,0.2728304,
79,0.0009961368,10.305379,12.43015,7.305379,12.08019,50000000.0,2000000000.0,10.383789538936185,-14.9986,-66.7956,-86.6201,-7.780619999999999e-07,4.209874760773243,3.987832,0.004072642,0.01873713,0.05814812,0.6586788,0.668158,0.2755165,
80,0.001000255,10.148308,12.35875,7.148308,12.01778,50000000.0,2000000000.0,9.876563436423453,-15.207,-66.9144,-86.776,-7.67658e-07,4.2839297517744885,4.008782,0.004081757,0.01880874,0.05813223,0.6554984,0.6740946,0.2734035,
81,0.001007108,10.217851,12.41101,7.217851,12.06891,50000000.0,2000000000.0,10.493896124293087,-15.1358,-66.8535,-86.6724,-7.699189999999999e-07,4.217677923501291,3.987127,0.004118487,0.01892468,0.05820899,0.6601618,0.66909,0.2765315,
82,0.0009924524,10.217496,12.37632,7.217496,12.02843,50000000.0,2000000000.0,9.780346583064727,-15.0908,-66.8673,-86.7252,-7.733e-07,4.268227375783567,4.004637,0.004049678,0.01869325,0.05798837,0.6548423,0.6732547,0.2733414,
83,0.0009957252,10.263452000000001,12.40697,7.263452,12.0577,50000000.0,2000000000.0,10.1083909248473,-15.036,-66.8287,-86.6593,-7.74863e-07,4.226862548587945,3.99069,0.004068283,0.0187542,0.057998,0.6577762,0.6703632,0.2754642,
84,0.0009824216,10.193594000000001,12.33204,7.193594,11.98119,50000000.0,2000000000.0,9.24489751181055,-15.0666,-66.8986,-86.7785,-7.73291e-07,4.309265472096167,4.016168,0.004003126,0.0185455,0.05776838,0.652439,0.6775086,0.2725034,
85,0.000990999,10.263964,12.3927,7.263964,12.0428,50000000.0,2000000000.0,9.870096115361548,-15.0084,-66.8333,-86.6739,-7.753999999999999e-07,4.23901045708217,3.992113,0.004048141,0.01869209,0.05792777,0.6580163,0.6720924,0.2761066,
