n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,FOM,PWR
70,6.480427389464623e-06,8.652340553530513e-06,45.869983917554755,24031.27498734594,999999999.9999999,-13.9575,23.3558,-24.4384,12.904944642415646,12.863546749410908,2.43119e-05
71,6.101418009758548e-06,8.906117964161958e-06,46.501631071362425,23211.764156930527,999999999.9999999,-13.6837,22.9869,-25.4507,12.924790467326925,12.945677572375253,2.3227599999999998e-05
72,5.5803384425197725e-06,9.306703233844977e-06,46.9768159245528,22164.86920936649,999999999.9999999,-13.1116,22.4164,-26.3209,13.037200782942275,13.128619581992533,2.16787e-05
73,4.789985366780881e-06,9.938483868299407e-06,47.280495498451124,20433.58929514233,999999999.9999999,-11.6104,21.334,-27.019,13.376718602953265,13.71465107143635,1.9215599999999996e-05
74,3.3417418730255477e-06,1.0903089430678482e-05,47.36320515302587,16374.65935062094,999999999.9999999,-10.2311,18.2163,-27.6372,14.77277541992018,11.810922429204417,1.4284599999999999e-05
75,5.848048277794709e-06,6.5960825986263716e-06,48.738256437510415,28655.653863586645,999999999.9999999,-14.4636,23.6744,-30.581,13.249103868189682,12.81931415137622,2.16418e-05
76,5.68125768160419e-06,6.75795597762673e-06,48.810661355493856,28352.29905679107,999999999.9999999,-14.3675,23.5275,-30.7935,13.270721395963669,12.841263573171391,2.11714e-05
77,5.461538333473642e-06,6.955278018400212e-06,48.85779191504544,27894.869930776316,999999999.9999999,-14.206,23.3157,-30.948,13.31090542930564,12.878582445054896,2.05481e-05
78,5.167678804277616e-06,7.2104802315939605e-06,48.873678113872955,27224.743541952772,999999999.9999999,-13.9238,22.9988,-31.037,13.385242835778076,12.949919906088958,1.96958e-05
79,4.757310713246624e-06,7.559800133383147e-06,48.85478184181542,26179.59357052586,999999999.9999999,-13.375,22.484,-31.0663,13.529851624070064,13.110935733171972,1.84726e-05
80,4.132190585117271e-06,8.07279658538203e-06,48.771858598035806,24323.55379614292,999999999.9999999,-12.0199,21.5012,-31.0086,13.86615749139802,13.613722918683084,1.6532900000000002e-05
81,2.9965987188659345e-06,8.86071186610008e-06,48.57686433803592,19975.219314752765,999999999.9999999,-9.4444,18.772,-30.969,15.074172751477928,13.348236852433441,1.27126e-05
82,5.2440477580153854e-06,5.112702240291345e-06,50.94632712076711,34956.63380081734,999999999.9999999,-14.8522,23.999,-38.2503,13.724604603488025,12.79707417598381,1.91133e-05
83,5.214919085735165e-06,5.195746697221525e-06,50.54266037727287,35049.9500445474,999999999.9999999,-14.8161,23.9859,-37.2288,13.760647561158683,12.801296338058542,1.90305e-05
84,5.1711783304719105e-06,5.274124150174658e-06,50.224293902305824,34996.986240864186,999999999.9999999,-14.7734,23.9504,-36.1568,13.789451922092228,12.805581801277024,1.8911899999999998e-05
85,5.1105284602419795e-06,5.354958074803431e-06,49.96179495850389,34828.81028379691,999999999.9999999,-14.7217,23.8934,-35.2231,13.814384836080624,12.810978363639833,1.87527e-05
86,5.0302256496199475e-06,5.444889744380847e-06,49.75138293851491,34567.31195863463,999999999.9999999,-14.6573,23.8119,-34.4766,13.838797340610952,12.818958809669136,1.8535699999999996e-05
87,4.924936278286055e-06,5.549872923803621e-06,49.58180183239943,34213.12354892556,999999999.9999999,-14.5735,23.7012,-33.8959,13.865475269487098,12.831505681622252,1.82508e-05
88,4.7876572201225396e-06,5.6786290743468925e-06,49.43594783751878,33749.827939825045,999999999.9999999,-14.4559,23.5495,-33.4139,13.900054133107819,12.852269629834709,1.7872699999999996e-05
89,4.606922352497033e-06,5.840700571329049e-06,49.31153066531563,33135.77405418544,999999999.9999999,-14.279,23.3357,-33.0272,13.950129781429313,12.88880911076166,1.73631e-05
90,4.362897380389712e-06,6.052914566463757e-06,49.18776238957131,32285.413782636777,999999999.9999999,-13.9859,23.0188,-32.6679,14.032136152262687,12.959144114944925,1.66599e-05
91,4.021120471461933e-06,6.345140788778567e-06,49.06336746872853,31003.622657712323,999999999.9999999,-13.4328,22.5073,-32.3489,14.181555448354304,13.118309747187771,1.56448e-05
92,3.4995807131986256e-06,6.776804387716256e-06,48.91046582260757,28771.39746034306,999999999.9999999,-12.0861,21.5332,-32.034,14.517819992288159,13.615035672390452,1.4029699999999999e-05
93,2.548267120878728e-06,7.438113355874616e-06,48.67505746462859,23614.28639934809,999999999.9999999,-9.684,18.8281,-31.7798,15.719538564668591,13.198638186817725,1.0824e-05
94,4.459467461537774e-06,4.367584473410119e-06,54.39673583372154,41325.00119885916,999999999.9999999,-15.1572,24.0179,-29.6657,14.117693149092773,12.801739009418712,1.62663e-05
95,4.435348408134984e-06,4.4301420412802405e-06,53.21514295583556,41291.22707559367,999999999.9999999,-15.0556,23.9958,-32.7177,14.204068489778281,12.807493636864963,1.6206199999999997e-05
96,4.399285096940392e-06,4.492375658113946e-06,52.28957737016967,41133.761001326704,999999999.9999999,-14.962,23.9553,-35.7695,14.273706948659877,12.81260252035212,1.61155e-05
97,4.349449816458176e-06,4.5594631396205435e-06,51.5575946074593,40875.6725948462,999999999.9999999,-14.8707,23.8955,-38.1085,14.331691692172965,12.818622664744915,1.5987099999999998e-05
98,4.282761181622402e-06,4.634901690619877e-06,50.968948800580016,40516.70812356486,999999999.9999999,-14.7747,23.8131,-38.6914,14.382330096130683,12.826771506243771,1.58146e-05
99,4.1948557128824615e-06,4.724269159794457e-06,50.5017093983583,40061.79331094447,999999999.9999999,-14.6653,23.7012,-37.8213,14.430601574202607,12.83945413790404,1.55787e-05
100,4.079657534435465e-06,4.834291239204192e-06,50.12005489502071,39485.47154533847,999999999.9999999,-14.5274,23.5489,-36.5756,14.482217214273316,12.86026223486567,1.52636e-05
101,3.9266131808969196e-06,4.974618188346939e-06,49.81329726923938,38730.58005121563,999999999.9999999,-14.3337,23.3338,-35.4733,14.545262503584333,12.89722882886831,1.48349e-05
102,3.7195973996618854e-06,5.158180841949389e-06,49.5520646254376,37694.547632575646,999999999.9999999,-14.0259,23.0148,-34.558,14.637085285773534,12.968738666326695,1.4239699999999999e-05
103,3.427136816593405e-06,5.41158802384271e-06,49.315544188370055,36142.018164246976,999999999.9999999,-13.4451,22.4958,-33.793,14.796451370514303,13.13920198429867,1.33703e-05
104,2.9535150155444077e-06,5.766685402583465e-06,48.7570646321476,33805.61315699659,999999999.9999999,-11.9097,21.5112,-32.1104,15.205410162881758,13.78078688225843,1.1880399999999999e-05
105,1.8535059752701577e-06,6.2822372123067585e-06,45.502851900178136,27671.58934018773,999999999.9999999,-11.6451,17.9228,-25.1573,17.36609667227222,9.944564831980927,8.0305e-06
106,3.2436354567227762e-06,4.457230947227534e-06,51.91138247791144,48425.28134532853,999999999.9999999,-14.5385,23.4064,-36.4845,15.141599393354003,12.97619066723905,1.2260599999999999e-05
107,2.893015531181898e-06,4.5561682876548475e-06,49.25519474889857,46463.63061969948,999999999.9999999,-13.6355,22.8147,-34.2568,15.560656664016326,13.245790610721597,1.1207700000000001e-05
108,2.32865216102971e-06,4.77329332300826e-06,45.83125399606958,43592.70912800632,999999999.9999999,-11.3243,21.5811,-25.7141,16.41229749642936,14.213907915409687,9.3993e-06
109,1.4073537536542054e-06,5.120821136676746e-06,41.82478186586729,33419.71954154708,999999999.9999999,-12.1706,17.4354,-20.4734,18.947419495165523,8.475507205177426,6.162499999999999e-06
110,2.4628690688948596e-06,3.864232559090007e-06,46.392901589644005,58484.50919770739,999999999.9999999,-13.4291,23.0649,-26.8819,16.55846162437645,13.40451617678478,9.4838e-06
111,2.060228061586121e-06,3.995821832193627e-06,43.6043624026272,53051.38803550018,999999999.9999999,-11.5186,21.9358,-22.5059,17.20702043633279,14.127266051491386,8.2534e-06
112,1.3505337105548995e-06,4.266292857805805e-06,39.45657800263764,42309.65925803758,999999999.9999999,-10.3002,18.6163,-18.2257,19.261794100770086,11.45156469990535,5.8271e-06
113,2.363433993471074e-06,2.6786217294841666e-06,45.44787211269968,74041.90370156577,999999999.9999999,-13.938,23.8572,-25.3282,17.310805299045732,13.248500424127952,8.792899999999998e-06
114,2.174797706218397e-06,2.690833471134781e-06,42.782795664758545,71422.51660025226,999999999.9999999,-13.2813,23.4622,-21.5728,17.690503958841287,13.3987764283008,8.253099999999999e-06
115,1.9166039034354417e-06,2.7568175124877686e-06,40.07302831469862,67855.37277952704,999999999.9999999,-12.2082,22.7897,-18.7718,18.219432355781265,13.689860363563158,7.4785e-06
