Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
42,Rd,-7.107477212808085e-06,0.0,0.0,0.0,0.0,-7.107477212808085e-06,Ibias,153.87879105744634,0.0,0.0,0.0,0.0,153.87879105744634,W1,65.34792855412411,0.0,0.0,0.0,0.0,65.34792855412411,W2,1360.5138685601178,0.0,0.0,0.0,0.0,1360.5138685601178,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
43,Rd,-7.027446873743913e-06,0.0,0.0,0.0,0.0,-7.027446873743913e-06,Ibias,154.3747729447658,0.0,0.0,0.0,0.0,154.3747729447658,W1,64.72916689775771,0.0,0.0,0.0,0.0,64.72916689775771,W2,1352.9997829031113,0.0,0.0,0.0,0.0,1352.9997829031113,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
44,Rd,-4.546992572378809e-05,-3.8522407374045746e-05,0.0,0.0,0.0,-6.94751834974264e-06,Ibias,78.69247006227975,-76.17021579398248,0.0,0.0,0.0,154.86268585626163,W1,-190.73304694307458,-254.84306523252664,0.0,0.0,0.0,64.11001828945206,W2,-234.73358785922875,-1580.3828753641337,0.0,0.0,0.0,1345.6492875048434,Alo,-0.134949846174907,-0.13494984617490802,0.0,0.0,0.0,0.0,
45,Rd,-6.987535734523962e-06,0.0,0.0,0.0,0.0,-6.987535734523962e-06,Ibias,154.64662683845214,0.0,0.0,0.0,0.0,154.64662683845214,W1,64.29535122128252,0.0,0.0,0.0,0.0,64.29535122128252,W2,1347.244455789848,0.0,0.0,0.0,0.0,1347.244455789848,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
46,Rd,-6.903814016177361e-06,0.0,0.0,0.0,0.0,-6.903814016177361e-06,Ibias,155.14268284415775,0.0,0.0,0.0,0.0,155.14268284415775,W1,63.67641402786484,0.0,0.0,0.0,0.0,63.67641402786484,W2,1339.8783982017649,0.0,0.0,0.0,0.0,1339.8783982017649,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
47,Rd,-7.207441898998053e-05,-6.52461550169562e-05,0.0,0.0,0.0,-6.828263973024473e-06,Ibias,25.24960193661655,-130.38099137887698,0.0,0.0,0.0,155.63059331549323,W1,-182.2202751714416,-245.27737124358734,0.0,0.0,0.0,63.05709607213118,W2,-234.1988134585942,-1566.6682819141306,0.0,0.0,0.0,1332.4694684555827,Alo,-0.22876391898902856,-0.2287639189890291,0.0,0.0,0.0,0.0,
48,Rd,-6.897167471778169e-06,0.0,0.0,0.0,0.0,-6.897167471778169e-06,Ibias,155.1321482983213,0.0,0.0,0.0,0.0,155.1321482983213,W1,63.56090469846081,0.0,0.0,0.0,0.0,63.56090469846081,W2,1337.6516007647358,0.0,0.0,0.0,0.0,1337.6516007647358,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
49,Rd,-6.821933382560614e-06,0.0,0.0,0.0,0.0,-6.821933382560614e-06,Ibias,155.61912710452438,0.0,0.0,0.0,0.0,155.61912710452438,W1,62.941910593331436,0.0,0.0,0.0,0.0,62.941910593331436,W2,1330.238630669007,0.0,0.0,0.0,0.0,1330.238630669007,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
50,Rd,-6.742779372740203e-06,0.0,0.0,0.0,0.0,-6.742779372740203e-06,Ibias,156.11398893418104,0.0,0.0,0.0,0.0,156.11398893418104,W1,62.32254004731412,0.0,0.0,0.0,0.0,62.32254004731412,W2,1322.9914151831792,0.0,0.0,0.0,0.0,1322.9914151831792,Alo,0.0,0.0,0.0,0.0,0.0,0.0,
51,Rd,-7.6756291248512e-05,-7.009256826328199e-05,0.0,0.0,0.0,-6.663722985230298e-06,Ibias,14.315598157276956,-142.29313502505616,0.0,0.0,0.0,156.60873318233251,W1,-174.0113257691801,-235.71412247210483,0.0,0.0,0.0,61.70279670293348,W2,-230.44743543896834,-1546.1501934167836,0.0,0.0,0.0,1315.7027579778076,Alo,-0.24606947987438382,-0.24606947987438485,0.0,0.0,0.0,0.0,
