Input_Current,Temperature,Voutp,Voutn,vg1,vd1,i_src,v_src,p_src,Io,gm1,gds1,vt,vdsat1,cgs1,cgd1,cgs2,cgd2,region,Vcmlo,gm2,vt2,conv_gain_db,gain_freq,bb_BW,iip2_dbm,nf_db,iip3_dbm
6.856569530068852e-05,-19.35483870967742,0.9643063,0.9643063,0.3301563,0.1566988,0.0005201618,1.0,0.0005201618,4.123955e-05,0.001095055,0.0001364043,0.5215407,0.03909367,2.381221e-14,1.5768930000000002e-14,7.085214e-15,4.671028e-15,3.0,0.4677481,0.0005479403,0.5059115,0.5198587912464074,1000.000000119209,9999000.0,49.634384895107615,23.331233501424336,1.0155378825989345
6.856569530068852e-05,-14.193548387096776,0.9632636,0.9632636,0.3258241,0.1595918,0.0005221589,1.0,0.0005221589,4.2399790000000006e-05,0.00110585,0.0001376089,0.517008,0.03991413,2.3983840000000002e-14,1.575907e-14,7.149695000000001e-15,4.667691e-15,3.0,0.4677506,0.0005527826,0.5024345,0.5034989390657577,1000.000000119209,9999000.0,49.67939655980898,23.433159574253516,0.9627917584125782
6.856569530068852e-05,-9.032258064516128,0.9622234,0.9622234,0.3215108,0.1624591,0.0005241366,1.0,0.0005241366,4.355344e-05,0.001115999,0.0001387509,0.512477,0.04073495,2.4152999999999996e-14,1.5749280000000003e-14,7.213728000000001e-15,4.664381e-15,3.0,0.4677532,0.0005574495,0.4989574,0.48289744234210696,1000.000000119209,9999000.0,49.78306775201696,23.537417446988314,0.9236885658811502
6.856569530068852e-05,-3.8709677419354875,0.9611856,0.9611856,0.3172156,0.1653057,0.0005260952,1.0,0.0005260952,4.470066000000001e-05,0.001125543,0.0001398333,0.5079472,0.04155607,2.431969e-14,1.573957e-14,7.277112000000001e-15,4.661108e-15,3.0,0.467756,0.0005618797,0.4954811,0.4586013560318025,1000.000000119209,9999000.0,49.90911060814079,23.64357701322168,0.9064694676149543
6.856569530068852e-05,1.2903225806451601,0.9601501,0.9601501,0.3129378,0.1681333,0.0005280343,1.0,0.0005280343,4.584127e-05,0.001134513,0.0001408589,0.5034187,0.04237742,2.44839e-14,1.572993e-14,7.339767000000001e-15,4.6578760000000006e-15,3.0,0.467759,0.0005660617,0.4920059,0.43107153233782675,1000.000000119209,9999000.0,50.006704340125054,23.751261013666912,0.8883560514855446
6.856569530068852e-05,6.451612903225808,0.9591172,0.9591172,0.3086766,0.1709431,0.0005299537,1.0,0.0005299537,4.6975030000000006e-05,0.001142937,0.0001418301,0.4988913,0.04319891,2.46456e-14,1.572036e-14,7.401655e-15,4.654688e-15,3.0,0.4677621,0.0005699997,0.4885321,0.40076332368791834,1000.000000119209,9999000.0,50.037613544307064,23.860136662316688,0.8804252544261431
6.856569530068852e-05,11.612903225806448,0.9580871,0.9580871,0.3044316,0.173735,0.0005318527,1.0,0.0005318527,4.810169000000001e-05,0.001150841,0.0001427495,0.494365,0.04402047,2.48048e-14,1.571086e-14,7.462771e-15,4.651543000000001e-15,3.0,0.4677653,0.0005737094,0.4850597,0.3681211820044724,1000.000000119209,9999000.0,50.13302667486383,23.969907912306763,0.8816949218591077
6.856569530068852e-05,16.774193548387096,0.9570597,0.9570597,0.300202,0.1765097,0.0005337311,1.0,0.0005337311,4.9221060000000006e-05,0.001158249,0.0001436197,0.4898398,0.04484201,2.4961509999999998e-14,1.570142e-14,7.523101000000001e-15,4.6484430000000005e-15,3.0,0.4677687,0.0005772008,0.4815886,0.33356510246308085,1000.000000119209,9999000.0,50.16100973987821,24.08022028977267,0.8916124079312908
6.856569530068852e-05,21.935483870967744,0.9560355,0.9560355,0.2959875,0.1792644,0.0005355878,1.0,0.0005355878,5.033261000000001e-05,0.001165175,0.0001444425,0.4853159,0.04566344,2.5115729999999997e-14,1.569204e-14,7.582755e-15,4.645382e-15,3.0,0.4677723,0.0005805325,0.4781182,0.2971665759380309,1000.000000119209,9999000.0,50.255692967922826,24.191070237539577,0.9093090227727032
6.856569530068852e-05,27.096774193548384,0.9550161,0.9550161,0.2917876,0.1819882,0.0005374192,1.0,0.0005374192,5.143456e-05,0.001171608,0.000145219,0.4807939,0.04648466,2.5267390000000002e-14,1.568273e-14,7.642172000000001e-15,4.6423350000000005e-15,3.0,0.467776,0.0005838971,0.4746459,0.25933562790227177,1000.000000119209,9999000.0,50.28185302431342,24.30216071473641,0.9343223021367635
