n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
38,0.0007189193499349713,9.37489024756295e-05,263.2138810144267,388.05003939897915,1000000000.0,-4.9824,15.2727,-27.4782,3.6016810510501998,0.0019164000000000002,0.0160793,0.28756773997398855,0.0
39,0.0007155892800427689,9.37489024756295e-05,263.2138810144267,388.05003939897915,1000000000.0,-5.0058,15.2517,-27.3425,3.607889168322027,0.0019081,0.0160235,0.28623571201710757,0.0011599999999999612
40,0.0007157216147367743,9.107015987493142e-05,250.05318696370537,392.5095696618989,1000000000.0,-4.9044,15.3226,-27.9989,3.64176289467802,0.0019113,0.0159962,0.2862886458947097,0.0
41,0.0007122334791871882,9.107015987493142e-05,250.05318696370537,392.5095696618989,1000000000.0,-4.9285,15.3007,-27.8567,3.6482710613048184,0.0019026000000000002,0.0159382,0.2848933916748753,0.0
42,0.0007088219886445511,9.107015987493142e-05,250.05318696370537,392.5095696618989,1000000000.0,-4.9521,15.2791,-27.7161,3.6546983176095393,0.0018939999999999999,0.0158815,0.28352879545782045,0.0
43,0.0007054820284199002,9.107015987493142e-05,250.05318696370537,392.5095696618989,1000000000.0,-4.9753,15.2578,-27.5769,3.6610563974132573,0.0018856,0.0158258,0.2821928113679601,0.0
44,0.0007022091723995851,9.107015987493142e-05,250.05318696370537,392.5095696618989,1000000000.0,-4.998,15.2367,-27.4393,3.6673490244085354,0.0018774,0.0157711,0.2808836689598341,0.0
45,0.0006989983406794109,9.107015987493142e-05,250.05318696370537,392.5095696618989,1000000000.0,-5.0203,15.2159,-27.3033,3.673582983605197,0.0018694,0.0157174,0.27959933627176436,0.0040599999999999525
46,0.0006994562296752263,8.845336756161124e-05,237.5505276155201,407.79252523767934,1000000000.0,-4.8977,15.4527,-27.5177,3.6842383194175876,0.0018723000000000001,0.0156728,0.2797824918700905,0.0
47,0.0006961294740457628,8.845336756161124e-05,237.5505276155201,407.79252523767934,1000000000.0,-4.9205,15.4316,-27.3811,3.690577856174331,0.0018640000000000002,0.015617800000000001,0.27845178961830513,0.0
48,0.0006928637176184144,8.845336756161124e-05,237.5505276155201,407.79252523767934,1000000000.0,-4.9429,15.4106,-27.2461,3.6968625669380377,0.0018558,0.015563800000000001,0.27714548704736575,0.0
49,0.0006896554864069451,8.845336756161124e-05,237.5505276155201,407.79252523767934,1000000000.0,-4.9649,15.3899,-27.1126,3.703099331667321,0.0018478000000000001,0.0155105,0.27586219456277805,0.0
