n,Io,W,Rb,Rd,fo,iip3,gain,s11,nf,PWR,gm,CF,CF_wo_Io
169,0.0005627172828582718,5.133420496270261e-05,201.09098667690765,886.3832410082689,1000000000.0,-4.9991,18.1463,-15.2029,3.9692418850381053,0.0014915,0.0115689,0.5966,0.0
170,0.0005561230690295419,5.133420496270261e-05,203.2743846245005,903.8527863374682,1000000000.0,-5.0703,18.1928,-14.8995,3.9677787288481126,0.0014735,0.011448100000000001,0.5894,0.020759999999999935
171,0.0005699625552701215,5.043988403943876e-05,193.11066539327547,858.6601470205948,1000000000.0,-4.8538,18.041,-15.8742,4.013181351420449,0.0015132000000000001,0.011691000000000002,0.60528,0.003295337855112157
172,0.0005724360991245753,5.2961878241410704e-05,202.76619866293925,861.5051759951917,1000000000.0,-4.968,18.1075,-15.5121,3.9274469092691664,0.0015173,0.011806100000000002,0.60692,0.0
173,0.0005657184716835546,5.2961878241410704e-05,204.92274014457197,875.2916382669832,1000000000.0,-5.0387,18.1397,-15.23,3.926002053976399,0.0014993,0.0116883,0.59972,0.00774000000000008
174,0.0005764043471596721,5.031378432934017e-05,194.67660313734336,877.0373046493746,1000000000.0,-4.8145,18.1447,-15.6476,3.997708305945053,0.0015265,0.0117304,0.6106,0.0
175,0.0005690630883093353,5.031378432934017e-05,196.80685285772887,894.7009184891971,1000000000.0,-4.891,18.1907,-15.32,3.996404475468207,0.0015065999999999999,0.0116004,0.60264,0.0
176,0.0005619204443688236,5.031378432934017e-05,198.96593983510024,912.7625787579119,1000000000.0,-4.9667,18.2366,-15.004,3.9953800004144293,0.0014872000000000002,0.0114727,0.5948800000000001,0.0
177,0.0005548908300313352,5.031378432934017e-05,201.1398846199032,931.5272415037404,1000000000.0,-5.0423,18.2836,-14.6966,3.994838434127189,0.0014681,0.011345800000000001,0.58724,0.02868666666666666
178,0.0005693832977211129,4.919714874344633e-05,191.08289038890803,884.9508794285533,1000000000.0,-4.8131,18.1309,-15.6476,4.042291792569873,0.0015093,0.0115832,0.60372,0.010572948142468341
179,0.0005718464901894651,5.165700618061864e-05,200.63703490835343,882.1557055796522,1000000000.0,-4.9295,18.1723,-15.3422,3.9549584983117247,0.001514,0.011710000000000002,0.6056,0.0
180,0.0005648250163973208,5.1501077777372955e-05,202.80784337497053,896.3309649817213,1000000000.0,-5.0004,18.1994,-15.0544,3.9558125798769375,0.0014952000000000001,0.0115824,0.5980800000000001,7.99999999999912e-05
181,0.0005650272425128043,4.8926023888504306e-05,192.667451206222,894.5178775764751,1000000000.0,-4.8562,18.146,-15.4305,4.0433747743653425,0.0014975000000000001,0.0114944,0.5990000000000001,0.010843693591335635
