Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
52,0.0009071917,4.704897,14.09079,1.704897,13.28964,1000000.0,2000000000.0,-1.5685794434504032,-3.32027,-66.6764,-84.9155,-8.182079999999999e-07,2.591797231051491,5.296483,0.003848835,0.01806094,0.05479127,0.6128853,0.4117427,0.235201,
53,0.0008985666,4.707517,14.08302,1.707517,13.26869,1000000.0,2000000000.0,-1.6199589584956158,-3.32994,-66.6372,-84.8694,-8.22751e-07,2.587033186575955,5.2842,0.003812008,0.01791355,0.05466515,0.6132195,0.4121447,0.2360526,
54,0.0008900801,4.765809,14.0753,1.765809,13.24775,1000000.0,2000000000.0,-1.6507975093363854,-3.31553,-66.6196,-84.8453,-8.26445e-07,2.5825514546685153,5.288856,0.003775714,0.01776791,0.05454232,0.6135892,0.4126112,0.2369276,
55,0.0008818384,4.823812,14.07191,1.823812,13.23343,1000000.0,2000000000.0,-1.690516740417742,-3.3021,-66.5973,-84.822,-8.307639999999999e-07,2.5787895697301537,5.293149,0.003740349,0.0176279,0.05444907,0.614111,0.4131171,0.2378456,
56,0.0008738499,4.87852,14.06278,1.87852,13.21085,1000000.0,2000000000.0,-1.7221504005684949,-3.2883,-66.5818,-84.7984,-8.340279999999999e-07,2.573857524100228,5.297106,0.003706116,0.01749205,0.05431958,0.614595,0.4136633,0.2388522,
57,0.0008666972,4.9038,14.08216,1.9038,13.20908,1000000.0,2000000000.0,-1.5605987557843974,-3.29692,-66.5511,-84.8076,-8.38826e-07,2.5829327531882624,5.300368,0.003675614,0.01737676,0.05420156,0.6111226,0.4133673,0.2366185,
58,0.0008595042,4.911725,14.06742,1.911725,13.18437,1000000.0,2000000000.0,-1.7485265342884304,-3.301,-66.5189,-84.7448,-8.424979999999999e-07,2.5719606292275854,5.290585,0.003646637,0.0172461,0.05413684,0.6119514,0.412288,0.2375134,
59,0.000851783,4.972797,14.05818,1.972797,13.16196,1000000.0,2000000000.0,-1.8137233085869227,-3.28468,-66.5052,-84.7185,-8.458659999999999e-07,2.566064857741973,5.297661,0.0036143,0.01711062,0.05403325,0.6122013,0.4121529,0.2381831,
60,0.0008440401,5.031432000000001,14.05072,2.031432,13.14068,1000000.0,2000000000.0,-1.8503025822823531,-3.27009,-66.4903,-84.6966,-8.494789999999999e-07,2.5618261771112043,5.304628,0.003581591,0.01697485,0.05392658,0.6122922,0.4122565,0.2387593,
61,0.0008364012,5.089715,14.04859,2.089715,13.12675,1000000.0,2000000000.0,-1.8858107586753334,-3.25685,-66.47,-84.6764,-8.53895e-07,2.558848267600369,5.311417,0.003549198,0.01684253,0.0538445,0.6123857,0.4124151,0.2392765,
62,0.0008288826,5.145300000000001,14.04258,2.1453,13.10768,1000000.0,2000000000.0,-1.914597288411457,-3.24408,-66.4533,-84.6559,-8.57951e-07,2.5558271775705976,5.318447,0.003517396,0.0167073,0.05375989,0.612468,0.4125762,0.2397584,
63,0.0008215161,5.199504,14.03547,2.199504,13.08544,1000000.0,2000000000.0,-1.9375578439325238,-3.2339,-66.4372,-84.6342,-8.614050000000001e-07,2.5520648172247484,5.323158,0.003486208,0.01657975,0.05364057,0.6123331,0.4126987,0.2402199,
64,0.0008142264,5.1992259999999995,14.02883,2.199226,13.06334,1000000.0,2000000000.0,-1.9684280083942696,-3.24381,-66.4033,-84.5961,-8.656269999999999e-07,2.54873668697542,5.313807,0.003455313,0.01645328,0.05352205,0.6120842,0.4128049,0.2405898,
65,0.0008069593,5.257877000000001,14.0249,2.257877,13.03955,1000000.0,2000000000.0,-1.9731342779079952,-3.23148,-66.3905,-84.586,-8.687039999999999e-07,2.5465207180934004,5.321466,0.003424419,0.01632869,0.05342641,0.6117714,0.4128905,0.2408481,
66,0.0007997408,5.314238,14.02047,2.314238,13.01975,1000000.0,2000000000.0,-1.9769625605475767,-3.21906,-66.3758,-84.5708,-8.72583e-07,2.544402054066733,5.329963,0.003393765,0.01620035,0.05332666,0.6113458,0.412943,0.2409958,
67,0.0007925522,5.3694869999999995,14.01719,2.369487,13.00052,1000000.0,2000000000.0,-1.9688964618201865,-3.20761,-66.3604,-84.5573,-8.765969999999999e-07,2.5429727806927502,5.338506,0.003363117,0.01607246,0.05322602,0.610747,0.413003,0.2410131,
68,0.000785385,5.425149,14.01979,2.425149,12.98897,1000000.0,2000000000.0,-1.95727563042891,-3.19737,-66.339,-84.5456,-8.81535e-07,2.542882527346493,5.347085,0.003332402,0.01594656,0.0531465,0.610036,0.4130618,0.2408864,
69,0.0007783092,5.478937999999999,14.01754,2.478938,12.96861,1000000.0,2000000000.0,-1.9313134679065769,-3.18709,-66.3241,-84.5346,-8.853509999999999e-07,2.541803696020146,5.355589,0.003301983,0.01582285,0.05302716,0.609025,0.4130337,0.240661,
70,0.0007712141,5.533308,14.01838,2.533308,12.94638,1000000.0,2000000000.0,-1.88758744409715,-3.18167,-66.3061,-84.5291,-8.89028e-07,2.542323680744254,5.361717,0.003271221,0.01570037,0.05292751,0.607867,0.4130532,0.2402743,
71,0.0007641204,5.532106000000001,14.01954,2.532106,12.93006,1000000.0,2000000000.0,-1.85941239235067,-3.19516,-66.2668,-84.5005,-8.946369999999999e-07,2.543353001401219,5.354508,0.003240479,0.0155717,0.05283789,0.6066663,0.4130637,0.2397695,
72,0.0007570958,5.58967,14.0203,2.58967,12.9121,1000000.0,2000000000.0,-1.8113554897949413,-3.18497,-66.2505,-84.494,-8.99088e-07,2.543982774627617,5.364963,0.003209942,0.01544576,0.05273601,0.6053306,0.4130057,0.2392135,
73,0.0007501691,5.646261,14.02115,2.646261,12.89398,1000000.0,2000000000.0,-1.7621131766626519,-3.17529,-66.2342,-84.4877,-9.03542e-07,2.54470306964961,5.375308,0.003179786,0.01532131,0.05263549,0.6039469,0.4129206,0.2386146,
74,0.0007433729,5.701979,14.02167,2.701979,12.87546,1000000.0,2000000000.0,-1.7166920527269838,-3.1659,-66.2182,-84.4809,-9.079370000000001e-07,2.545238552652032,5.385531,0.003150213,0.01519889,0.05253727,0.602566,0.4127836,0.2380068,
75,0.0007367127,5.757937,14.02646,2.757937,12.86389,1000000.0,2000000000.0,-1.6837977752018745,-3.15692,-66.1974,-84.4735,-9.131009999999999e-07,2.54626933599148,5.39563,0.003121278,0.0150801,0.05246247,0.6012856,0.4126097,0.2374067,
76,0.000730273,5.811774,14.02468,2.811774,12.84201,1000000.0,2000000000.0,-1.6512087074907669,-3.14751,-66.1844,-84.4653,-9.167809999999998e-07,2.54544245229401,5.405319,0.003093308,0.01496581,0.05235188,0.5999025,0.412314,0.2368531,
77,0.000724923,5.867895,14.02453,2.867895,12.81055,1000000.0,2000000000.0,-1.6032538564790286,-3.13833,-66.1795,-84.4651,-9.167879999999999e-07,2.5403756989732464,5.409787,0.003066138,0.01489172,0.0521574,0.597983,0.4119201,0.2363629,
78,0.0007140092,5.9136109999999995,14.05815,2.913611,12.80277,1000000.0,2000000000.0,-0.9937814416939261,-3.15326,-66.1372,-84.5329,-9.276809999999999e-07,2.5715814027832806,5.424412,0.003016248,0.01469791,0.05195903,0.5915512,0.4150809,0.2324995,
79,0.0007102195,5.91998,14.03628,2.91998,12.76747,1000000.0,2000000000.0,-1.35295168819912,-3.15445,-66.1211,-84.4601,-9.276910000000001e-07,2.5520228570641823,5.416017,0.003003191,0.01462803,0.05194262,0.5926317,0.41169,0.2332668,
80,0.0007058381,5.977161000000001,14.02003,2.977161,12.74103,1000000.0,2000000000.0,-1.562199467856317,-3.13643,-66.1201,-84.4221,-9.2902e-07,2.5397274065116786,5.425663,0.002986409,0.01454469,0.05190582,0.5932262,0.4097695,0.2338175,
81,0.0007010952,6.028717,14.00834,3.028717,12.71688,1000000.0,2000000000.0,-1.6708376020828624,-3.12263,-66.1156,-84.398,-9.311749999999999e-07,2.5326254454729424,5.434696,0.002967235,0.01445563,0.05185504,0.5934187,0.4088312,0.2341911,
82,0.000696106,6.076912,14.00004,3.076912,12.69433,1000000.0,2000000000.0,-1.7114805820599344,-3.11173,-66.1086,-84.3832,-9.33918e-07,2.5290016264955257,5.443426,0.002946424,0.01436265,0.05179467,0.5932892,0.4084982,0.2344028,
83,0.0006909351,6.124222,13.99912,3.124222,12.68049,1000000.0,2000000000.0,-1.7133103836147114,-3.1029,-66.0943,-84.3744,-9.38006e-07,2.528440899594662,5.452087,0.00292443,0.01426803,0.05174678,0.5929521,0.4085386,0.2344534,
84,0.0006856986,6.1692800000000005,13.99529,3.16928,12.66085,1000000.0,2000000000.0,-1.6879513341608288,-3.09525,-66.0832,-84.3682,-9.416639999999999e-07,2.5284789608746028,5.460725,0.002902006,0.01416994,0.05168518,0.592419,0.4087019,0.2343893,
85,0.0006804377,6.213655,13.99059,3.213655,12.63692,1000000.0,2000000000.0,-1.639228995482739,-3.0882,-66.075,-84.3658,-9.4463e-07,2.5286003127973102,5.469158,0.002879206,0.01407486,0.0515932,0.5915514,0.4089167,0.2342235,
86,0.0006750899,6.257527,13.98715,3.257527,12.61313,1000000.0,2000000000.0,-1.569283955617422,-3.08215,-66.0658,-84.3661,-9.47803e-07,2.529717035336621,5.47768,0.002855817,0.01397821,0.0514983,0.5904759,0.4092309,0.2339192,
87,0.0006697317,6.302526,13.98483,3.302526,12.58506,1000000.0,2000000000.0,-1.4907439850079243,-3.08059,-66.0551,-84.3708,-9.50519e-07,2.531813130453265,5.483834,0.002832309,0.01388248,0.05142147,0.5893544,0.4095345,0.2335262,
